city,co,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,Grand Total
Amiens,,7256.1,610.2,2339.1,1836,,98801.9,39.3,734.3,542.9,185,112344.8
Besançon,,5912.4,637.1,2826.1,1506,4066,97995.1,,569.2,642.5,347.3,114501.7
Bordeaux,,7639.4,754,2498.7,1918,5076,98884.3,86.8,1046.9,490.8,251.7,118646.6
Caen,,8070,609.6,2747.2,1930,4590,98797.7,,793.2,533.9,399.6,118471.2
Clermont-Ferrand,,6579.2,1007,2612.6,1670,4881,98908.4,,839.7,363.8,235.8,117097.5
Dijon,,7180.4,793.4,2503.2,1719,3799,98963,,766.8,440.8,294.5,116460.1
Grenoble,,7042.9,1165.9,1970.7,2182,5777,99026.2,115.1,650.1,394,172.8,118496.7
Lille,11.6,6806.6,1052.4,2197,2052,,98771.6,,799,716.7,372.6,112779.5
Limoges,,7262.7,1213.3,2564.2,1526,,98876,,871.7,614,314.9,113242.8
Lyon,,6710.1,1402.5,2177.9,2290,6234,98950.2,93.2,885,336,200,119278.9
Marseille,11.6,6781.4,1313.6,2552.4,2327,5130,98962.7,83.5,1031.5,473.6,275.6,118942.9
Metz,,7529.7,801.1,2427.8,1722,4504,100521.1,133,735.1,532.5,218.1,119124.4
Montpellier,,7183.1,894.4,3062.3,1849,4511,98966.1,,1069.8,681.7,332.3,118549.7
Nancy,,7265.2,896.9,2407.1,2040,4613,99903.8,116.3,724.2,599.6,320.5,118886.6
Nantes,11.7,7645.5,730.6,2800.1,1867,4914,98394.3,73.7,977.8,679.9,331.1,118425.7
Nice,,6415.8,1173.8,2332.7,2349,4810,98869.7,,1105.1,244.3,173.3,117473.7
Nîmes,,6863.7,971.3,2508.5,2377,5089,98955.4,,966.6,459.5,248.7,118439.7
Orléans,,7336.1,544.4,2906.6,1761,4466,98806.1,,843.7,317.1,379.9,117360.9
Paris,11.7,7351.3,1726,2289.6,2353,5548,100857.9,74.5,931,605.1,225.8,121973.9
Perpignan,,7416.9,944.2,2729.6,1756,3769,98925.2,,1108.3,422.8,197.1,117269.1
Rennes,,7618.1,787.8,,1872,4646,98813.5,,909.9,393.9,274.8,115316
Rouen,,7659.2,1253.6,2604,1926,5290,98786.8,88.8,813.8,458.1,372.2,119252.5
Saint-Étienne,,6961.5,1089.4,2302,1769,4713,98938.8,,752,294.5,172.7,116992.9
Strasbourg,,6708.1,1243.4,2204.5,2202,4916,98704.8,,843.6,471.5,229.4,117523.3
Toulon,,6532.4,1212.2,3079.3,2155,4521,98867.3,,1160.2,645.8,327.4,118500.6
Toulouse,,6824,1099,2643.7,1972,5137,98973.1,,971,387.7,272.4,118279.9
Tours,11.7,7031.4,645,2799.5,1934,4885,98877.3,,786.5,837.3,700,118507.7
