country,city,co,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,cases,hospitalize,deaths,population,mortality_case,mortality_population
France,Amiens,,74.80515464,5.215384615,19.99230769,15.69230769,,1018.576289,0.531081081,7.570103093,9.048333333,3.189655172,1430,303,164,,0.114685315,
France,Besançon,,61.5875,5.791818182,25.69181818,13.81651376,37.30275229,1020.782292,,5.929166667,8.801369863,4.757534247,1108,177,106,,0.09566787,
France,Bordeaux,,78.75670103,6.444444444,21.35641026,16.39316239,43.38461538,1019.425773,0.885714286,10.79278351,6.723287671,3.447945205,1591,252,103,,0.064739158,
France,Caen,,83.19587629,5.21025641,23.48034188,16.4957265,39.23076923,1018.53299,,8.177319588,8.089393939,5.473972603,536,148,54,,0.100746269,
France,Clermont-Ferrand,,67.82680412,8.606837607,22.32991453,14.27350427,41.71794872,1019.674227,,8.656701031,7.276,3.230136986,334,47,31,,0.092814371,
France,Dijon,,74.02474227,7.147747748,23.17777778,15.48648649,34.22522523,1020.237113,,7.905154639,7.471186441,4.034246575,1721,303,200,,0.116211505,
France,Grenoble,,72.60721649,9.964957265,16.84358974,18.64957265,49.37606838,1020.88866,0.983760684,6.702061856,5.397260274,2.367123288,1108,219,95,,0.085740072,
France,Lille,0.1,70.17113402,8.994871795,20.34259259,17.53846154,,1018.263918,,8.237113402,9.817808219,5.104109589,3843,909,403,,0.10486599,
France,Limoges,,74.87319588,10.37008547,22.2973913,13.04273504,,1019.340206,,8.986597938,9.446153846,4.31369863,246,50,21,,0.085365854,
France,Lyon,,69.17628866,11.98717949,18.61452991,19.57264957,53.28205128,1020.105155,0.91372549,9.12371134,5.508196721,2.739726027,5030,1180,454,,0.090258449,
France,Marseille,0.1,69.19795918,11.22735043,22.00344828,19.88888889,43.84615385,1020.234021,0.713675214,10.5255102,6.314666667,3.674666667,5581,1010,353,,0.063250314,
France,Metz,,76.05757576,6.847008547,20.75042735,14.71794872,38.4957265,1015.364646,1.266666667,7.425252525,7.006578947,2.908,4395,945,610,,0.138794084,
France,Montpellier,,74.05257732,7.644444444,26.17350427,15.8034188,38.55555556,1020.269072,,11.02886598,11.55423729,4.552054795,1290,126,98,,0.075968992,
France,Nancy,,70.75979381,8.301709402,21.44017094,20.31623932,43.4957265,1020.158763,,9.964948454,7.658333333,3.406849315,2021,450,247,,0.122216724,
France,Nantes,,74.13469388,7.665811966,20.57350427,17.43589744,39.42735043,1019.426531,1.02920354,7.389795918,8.949253731,4.331081081,1099,256,110,,0.100090992,
France,Nice,0.1,78.81958763,6.244444444,23.93247863,15.95726496,42,1014.374227,0.995945946,10.08041237,10.96612903,4.535616438,1212,269,118,,0.097359736,
France,Nîmes,,66.14226804,10.03247863,19.93760684,20.07692308,41.11111111,1019.275258,,11.39278351,3.346575342,2.373972603,544,126,46,,0.084558824,
France,Orléans,,75.62989691,4.652991453,24.84273504,15.05128205,38.5,1018.619588,,8.697938144,10.93448276,5.204109589,1079,252,63,,0.058387396,
France,Paris,0.1,74.25555556,14.75213675,19.56923077,20.11111111,47.41880342,1018.766667,0.642241379,9.404040404,8.289041096,3.010666667,11582,2624,1327,,0.114574339,
France,Perpignan,,76.4628866,8.07008547,24.37142857,15.00854701,35.8952381,1019.847423,,11.4257732,7.41754386,3.457894737,557,25,28,,0.0502693,
France,Rennes,,78.5371134,6.733333333,,16,39.70940171,1018.695876,,9.380412371,6.252380952,3.764383562,739,164,66,,0.089309878,
France,Rouen,,78.96082474,10.71452991,22.25641026,16.46153846,45.21367521,1018.420619,0.862135922,8.389690722,6.275342466,5.098630137,4325,695,437,,0.101040462,
France,Saint-Étienne,,71.76804124,9.311111111,19.67521368,15.11965812,40.28205128,1019.987629,,7.75257732,4.75,2.365753425,1740,438,168,,0.096551724,
France,Strasbourg,,69.1556701,10.62735043,18.84188034,18.82051282,42.01709402,1017.575258,,8.696907216,6.45890411,3.142465753,4659,911,479,,0.102811762,
France,Toulon,,67.3443299,10.36068376,26.31880342,18.41880342,39.65789474,1019.250515,,11.96082474,8.727027027,4.484931507,1457,320,100,,0.06863418,
France,Toulouse,,70.35051546,9.393162393,22.5957265,16.85470085,43.90598291,1020.341237,,10.01030928,6.461666667,3.731506849,1110,159,44,,0.03963964,
France,Tours,0.1,72.48865979,5.512820513,23.92735043,16.52991453,41.75213675,1019.353608,,8.108247423,14.4362069,9.589041096,615,159,55,,0.089430894,
