country,city,co,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed
Italy,Bologna,0.1,69.96804124,23.38782609,18.49304348,27.89565217,66.33913043,1019.585567,2.1029,8.498969072,5.624657534,2.416438356
Italy,Brescia,0.1,60.90515464,24.58495575,25.31009174,32.34513274,82.21238938,1012.450515,1.585714286,8.390721649,3.923287671,2.797260274
Italy,Florence,0.1,74.47916667,22.20091743,21.2075,20.08333333,56.98165138,1017.685417,1.173831776,9.74375,6.383823529,2.836764706
Italy,Livorno,0.1,69.79270833,21.86788991,21.2075,20.14159292,50.04587156,1019.308333,2.1029,10.63645833,4.036986301,2.752777778
Italy,Milan,0.1,65.39896907,32.56017699,25.17345133,39.07964602,92.91150442,1019.292784,3.108849558,9.107216495,3.722535211,1.651351351
Italy,Modena,0.1,61.03917526,23.83043478,22.30173913,34.17391304,81.25217391,1016.547423,2.1029,8.704123711,4.552054795,2.461643836
Italy,Naples,6.258119658,67.21340206,12.35213675,20.23418803,32.04273504,70.42735043,1019.069072,2.028205128,11.64329897,10.22463768,2.812328767
Italy,Parma,0.1,62.94375,20.35304348,21.32521739,33.46086957,79.88695652,1018.648958,5.1,9.465625,4.316901408,4.226086957
Italy,Prato,0.1,70.46666667,23.71743119,21.2075,21.76041667,67.39449541,1020.509091,2.1029,9.567676768,5.652,2.666666667
Italy,Rome,0.1,70.55,14.70438596,15.61491228,26.42982456,61.46491228,1017.288776,0.328318584,11.21530612,6.891780822,2.912162162
Italy,Trieste,0.1,38.03047619,21.95,21.2075,23.5754717,59.16190476,1019.28,1.395604396,9.926666667,5.8,2.802469136
Italy,Turin,0.1,60.63564356,21.95,21.2075,28.27,87.67857143,1018.726733,2.1029,8.731683168,3.961038961,1.464935065
