country,city,co,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed
Netherlands,Amsterdam,2.907692308,78.79215686,9.741880342,20.35042735,17.16239316,39.47863248,1016.676471,0.332478632,8.146,10.43766234,4.953846154
Netherlands,Breda,,74.52680412,9.332478632,20.2957265,18.54700855,34.56410256,1017.407216,,8.270103093,7.280821918,4.031506849
Netherlands,Dordrecht,,77.68556701,7.834188034,21.15641026,17.09401709,34.1965812,1018.441237,,8.280412371,13.22054795,6.878082192
Netherlands,Eindhoven,,73.66494845,7.628205128,21.19401709,17.34188034,41.18803419,1018.130928,,7.805154639,10.47534247,4.969863014
Netherlands,Groningen,,81.37010309,5.864102564,23.54358974,19.1965812,27.77777778,1016.680412,,7.081443299,8.042465753,2.254794521
Netherlands,Haarlem,2.08034188,73.012,7.853846154,21.77008547,19.71794872,40.57264957,1014.333,0.441025641,7.953,9.209210526,3.723684211
Netherlands,Maastricht,,80.12268041,7.186324786,20.48290598,17.62393162,43.67521368,1018.95567,0.32991453,7.990721649,7.721917808,3.884931507
Netherlands,Nijmegen,2.775,71.04639175,8.951282051,20.58461538,20.06837607,37.91452991,1017.505155,,7.869072165,8.804109589,3.654794521
Netherlands,Rotterdam,,76.6,11.15982906,19.38119658,19.1965812,42.86324786,1017.169,1.224786325,8.132,12.76315789,6.009210526
Netherlands,The Hague,,77.313,10.00683761,19.73589744,18.96581197,38.69230769,1016.798,0.78362069,8.074,14.84605263,6.885526316
Netherlands,Utrecht,1.933333333,72.87628866,9.226495726,19.84444444,17.63247863,40.75213675,1007.113402,0.294871795,10.10515464,11.35,4.297058824
