country,city,co,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed
United Kingdom,Belfast,1.45045045,81.62244898,14.01282051,16.48672566,14.90598291,32.07017544,1013.09898,1.395689655,7.107142857,11.20322581,4.854054054
United Kingdom,Birmingham,,81.52371134,7.814529915,24.25128205,12.86324786,32.35897436,1016.356701,1.289380531,7.104123711,8.383561644,3.584931507
United Kingdom,Bristol,2.103092784,81.36804124,10.23418803,22.00172414,17.17094017,41.84615385,1017.343299,2.959183673,8.139175258,8.504109589,3.12739726
United Kingdom,Cardiff,2.044736842,82.23469388,8.384615385,22.55641026,15.51282051,31.36283186,1016.431633,3.128695652,7.687755102,11.18108108,5.736486486
United Kingdom,Coventry,,81.73092784,6.421367521,24.74700855,12.05128205,31.25641026,1016.118557,,7.193814433,8.026027397,3.094520548
United Kingdom,Edinburgh,0.87745098,80.71010101,6.905982906,26.93760684,8.452991453,19.81196581,1011.448485,2.386324786,6.153535354,14.772,6.605333333
United Kingdom,Glasgow,,81.99708738,9.020512821,23.21111111,9.863247863,23.41880342,1013.403883,2.315306122,6.519417476,9.9,4.592405063
United Kingdom,Leeds,3.705128205,77.68333333,9.882051282,22.78318584,14.38596491,36.79824561,1018.033333,2.029059829,6.782291667,10.90704225,6.160273973
United Kingdom,Leicester,,77.07113402,9.417948718,20.37350427,12.49056604,32.52991453,1016.129897,2.142708333,6.192783505,10.66575342,5.146575342
United Kingdom,Liverpool,,66.8814433,5.494871795,25.25811966,13.52136752,30.86324786,1013.695876,3.086324786,7.963917526,10.65616438,4.635616438
United Kingdom,London,4.793162393,73.5755102,13.48376068,17.22307692,17.33333333,40.07692308,1017.547959,2.523931624,8.995918367,12.81081081,5.775675676
United Kingdom,Luton,,92.53333333,,,,,1024.233333,,3.666666667,4.166666667,2.466666667
United Kingdom,Manchester,,79.329,11.08205128,16.80086207,16.99145299,37.22222222,1015.945,4.625862069,7.585,7.101315789,3.717105263
United Kingdom,Newport,2.097938144,83.38367347,8.034188034,25.64017094,14.81196581,36.54700855,1015.42449,2.955102041,7.402040816,9.991891892,4.771232877
United Kingdom,Norwich,,88.60510204,6.974358974,23.76752137,14.03418803,37.44444444,1016.683673,,7.444897959,4.25,0.884126984
United Kingdom,Plymouth,,82.36907216,6.68974359,25.35299145,17.60869565,41.33043478,1018.23299,,8.439175258,12.92769231,6.223076923
United Kingdom,Preston,,77.60618557,7.721367521,23.13675214,14.05128205,34.11965812,1015.261856,3.259,7.320618557,9.545205479,5.47260274
United Kingdom,Reading,,72.77835052,8.023076923,21.71196581,17.02830189,29.12264151,1016.850515,,8.105154639,7.835616438,4.334246575
United Kingdom,Sheffield,,79.84226804,8.005982906,23.30940171,12.39316239,32.92307692,1013.280412,,6.754639175,6.246575342,1.550684932
United Kingdom,Southend-on-Sea,,75.5255102,5.508547009,23.22222222,14.35897436,37.70940171,1017.436735,1.444736842,8.675510204,5.52739726,5.463513514
United Kingdom,Swansea,2.958558559,82.11262136,6.674358974,25.20347826,20.41025641,38.82051282,1017.038835,3.254782609,8.263106796,12.20655738,4.598734177
