country,city,co,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed
US,Albuquerque,1.788793103,42.12886598,7.526724138,27.59827586,11.96551724,16.04310345,1019.559794,1.516470588,8.27628866,4.087671233,1.925675676
US,Atlanta,2.609401709,71.308,7.646153846,20.08290598,12.18965517,32.44444444,977.305,0.274358974,11.127,4.450649351,1.433333333
US,Austin,,75.77692308,,19.0254386,,32.19298246,1016.318269,,15.70096154,4.50125,1.638666667
US,Baltimore,,67.37395833,10.23589744,22.34444444,8.979166667,28.05982906,1017.759375,1.788235294,7.020833333,4.569863014,2.139189189
US,Boise,3.420512821,63.746875,7.506034483,20.53706897,12.97413793,23.12931034,1017.323958,1.5,5.51875,3.559459459,1.890410959
US,Boston,2.501709402,65.82708333,6.624786325,24.30683761,,25.11111111,1015.494792,1.5,4.169791667,10.51805556,4.377777778
US,Brooklyn,2.697560976,60.58727273,16.01684211,23.13272727,,29.67521368,1017.815455,,6.582727273,8.671428571,3.674117647
US,Charlotte,0.901724138,70.615625,,22.64957265,11.9,27.73504274,1017.56875,1.5,12.29791667,3.881081081,1.85
US,Chicago,2.671717172,74.86458333,8.075,22.88547009,12.62,33.63247863,1015.44375,0.329166667,2.784375,8.545205479,3.8125
US,Columbia,,71.92871287,,,,31.6,1018.669307,1.5,13.12475248,3.501298701,1.019444444
US,Columbus,1.802380952,75.71979167,7.074358974,25.37631579,,29.52991453,1016.173196,2.34,5.486458333,5.230136986,2.638888889
US,Dallas,,74.21122449,,19.51217391,,29.60747664,1016.436735,,14.15,9.856578947,5.136
US,Denver,2.567241379,46.51134021,8.592241379,11.64655172,16.21551724,26.36206897,1014.744792,0.690361446,4.458762887,4.426027397,3.673972603
US,Detroit,3.790322581,78.19411765,7.822580645,21.99145299,13.2991453,31.78632479,1017.112745,2.307142857,3.295876289,4.415384615,6.092207792
US,El Paso,,38.69393939,5.56637931,25.22393162,16.11965812,21.41025641,1015.356566,,13.25555556,5.285333333,2.674666667
US,Fort Worth,,71.40638298,,19.45964912,,25.38053097,1017.726596,,13.13085106,7.394029851,2.971428571
US,Fresno,3.30862069,73.03229167,9.304310345,16.77413793,20.71551724,42.27586207,1019.322917,1.5,11.66354167,3.6,1.727777778
US,Hartford,2.617948718,61.25625,4.641025641,12.04102564,11.41880342,27.86324786,1015.298958,,4.784375,4.504545455,2.488732394
US,Honolulu,7.343,73.490625,,23.50862069,11.59482759,18.62931034,1016.138542,7.6,22.221875,6.041428571,3.013888889
US,Houston,,76.67777778,,18.82413793,,33.67241379,1017.659596,,17.85757576,6.838157895,3.217105263
US,Indianapolis,2.306837607,76.92755102,7.82991453,20.74102564,14.76923077,35.63247863,1015.431633,1.573684211,4.23030303,6.906666667,2.373333333
US,Jackson,1.329059829,76.93125,5.5125,22.98461538,,33.12820513,1017.098958,1.524137931,15.50416667,6.358108108,2.695945946
US,Jacksonville,4.376068376,73.26862745,4.032478632,12.27350427,16.82051282,35.29059829,1018.440196,0.5,18.02941176,3.45125,1.52875
US,Las Vegas,0.1,39.62708333,7.58362069,12.90689655,15.32758621,22.52586207,1016.691667,0.527586207,12.38541667,6.431944444,2.741666667
US,Little Rock,,70.57578947,,19.61206897,,28.85470085,1019.037895,,10.90842105,6.62238806,3.290540541
US,Los Angeles,4.45,71.04226804,18.93448276,15.73103448,24.09734513,42.22413793,1017.738144,1.5,13.87628866,2.061643836,1.535135135
US,Madison,,73.0875,,25.85254237,13.29059829,36.05128205,1016.836458,0.344230769,1.653125,5.488888889,2.911111111
US,Manhattan,2.947826087,61.34313725,13.92478632,19.14482759,,29.92241379,979.0705882,,5.718627451,5.264935065,1.762337662
US,Memphis,,77.90416667,,21.58034188,,28.75213675,1017.75625,,11.56979167,5.288888889,2.365753425
US,Miami,1.515044248,74.62989691,,13.15128205,19.36206897,30.04273504,1018.809278,0.632323232,22.65773196,7.695890411,2.628767123
US,Milwaukee,2.724786325,74.89793814,8.569230769,23.36666667,12.76923077,34.58974359,1016.535052,0.312149533,1.707216495,5.694594595,2.766666667
US,Nashville,,70.25825243,,18.6325,,28.43589744,1012.251456,,11.28058252,6.911392405,3.449367089
US,Oakland,4.451724138,77.60104167,10.41810345,19.79568966,,28.37068966,1018.825,1.586419753,11.29583333,4.071621622,2.250684932
US,Oklahoma City,5.575862069,69.30612245,6.448717949,23.45213675,14.06837607,30.45299145,1017.172449,1.5,10.83265306,8.485714286,5.159459459
US,Omaha,2.123931624,70.10721649,,19.28461538,13.52991453,27.47863248,1016.540206,2.34,3.477319588,6.591780822,2.413513514
US,Philadelphia,3.515789474,66.46060606,7.442735043,23.23846154,,33.66666667,1016.781818,1.816129032,6.72020202,5.634210526,2.305405405
US,Phoenix,4.644444444,39.19896907,9.780172414,17.58119658,15.64102564,27.54700855,1015.563918,0.13271028,15.90515464,3.689333333,1.386666667
US,Portland,1.679310345,77.22346939,8.293103448,5.934482759,,19.99137931,1017.884694,0.300869565,8.054081633,4.296,3.894666667
US,Providence,4.034782609,69.18229167,11.39565217,28.28198198,,22.70689655,1014.23125,1.566666667,4.81875,4.827777778,1.627027027
US,Queens,2.751376147,59.29326923,14.46168224,22.37350427,,27.08547009,1016.573394,,8.601923077,11.66341463,4.52
US,Raleigh,2.645299145,68.72291667,5.973504274,23.95726496,10.98850575,26.63247863,1018.210417,1.5,12.165625,4.981081081,1.767123288
US,Richmond,0.1,69.36326531,1.743965517,14.40357143,,22.66666667,1017.480612,0.182051282,9.678571429,4.450684932,1.54
US,Sacramento,,75.33505155,2.971052632,18.21724138,16.61538462,24.80357143,1019.645361,,11.03917526,5.131506849,2.264383562
US,Saint Paul,2.717948718,72.6371134,7.944444444,19.17844828,11.68376068,32.67521368,1017.290722,1.5,-0.064948454,7.160273973,3.305479452
US,Salem,,85.0742268,,,,19.93965517,1020.107216,,7.774226804,4.77972973,2.004
US,Salt Lake City,1.376699029,53.92989691,12.7957265,22.17606838,,18.84615385,1015.098969,,5.878350515,4.997260274,1.617808219
US,San Antonio,,70.50421053,,21.45862069,,32.65789474,1016.768421,,16.85473684,6.773972603,2.763888889
US,San Diego,4.9,72.296,11.46666667,15.63461538,,42.86538462,1015.928,,11.352,2.996,1.191666667
US,San Francisco,3.947413793,75.63608247,7.50862069,21.69827586,,27.40517241,1019.703125,1.634042553,11.33505155,5.975675676,2.455405405
US,San Jose,4.16637931,76.2556701,9.618965517,20.77672414,10.09183673,26.81896552,1019.419588,1.585714286,10.73814433,3.694594595,1.72739726
US,Seattle,2.653448276,78.70309278,10.83189655,20.32155172,,21.23275862,1017.714433,2.8025,7.204123711,6.071621622,2.621621622
