city,cases,hospitalize,deaths,population
Ahrweiler,729,,30,317531
Aichach-Friedberg,35,,0,34209
Alb-Donau-Kreis,931,,53,188935
Altenburger Land,396,,5,161834
Altenkirchen (Westerwald),455,,48,127880
Altmarkkreis Salzwedel,762,,45,354382
Altötting,586,,33,73178
Alzey-Worms,167,,7,83330
Amberg,279,,48,124151
Amberg-Sulzbach,159,,6,119960
Ammerland,24,,0,56882
Anhalt-Bitterfeld,150,,3,125840
Ansbach,17,,0,76278
Ansbach,291,,9,278342
Aschaffenburg,257,,11,306460
Aschaffenburg,317,,20,201597
Augsburg,525,,20,548433
Aurich,150,,7,101017
Bad Dürkheim,274,,11,94393
Bad Kissingen,67,,4,81947
Bad Kreuznach,60,,0,65090
Bad Tölz-Wolfratshausen,340,,2,135348
Baden-Baden,270,,6,42520
Bamberg,37,,0,123025
Bamberg,445,,8,277783
Barnim,285,,32,170619
Bautzen,142,,3,156953
Bayreuth,108,,2,60603
Bayreuth,76,,2,224684
Berchtesgadener Land,124,,4,236697
Bergstraße,298,,4,227796
Berlin,3905,,124,2030874
Bernkastel-Wittlich,171,,4,148945
Biberach,94,,1,110636
Bielefeld,1021,,51,177089
Birkenfeld,1085,,98,72504
Böblingen,120,,7,168296
Bochum,13,,2,34835
Bodenseekreis,104,,3,95113
Bonn,142,,2,110356
Börde,1286,,45,634830
Borken,424,,15,100649
Bottrop,356,,31,47794
Brandenburg an der Havel,370,,18,243196
Braunschweig,90,,6,111982
Breisgau-Hochschwarzwald,1185,,55,447614
Bremen,83,,3,131347
Bremerhaven,491,,9,136092
Burgenlandkreis,1793,,74,555465
Calw,183,,6,203102
Celle,135,,4,87397
Cham,56,,0,114429
Chemnitz,59,,0,50378
Cloppenburg,77,,1,56196
Coburg,37,,0,69655
Coburg,221,,5,159360
Cochem-Zell,334,,4,301902
Coesfeld,734,,29,130873
Cottbus,259,,7,278210
Cuxhaven,207,,3,276032
Dachau,89,,0,95818
Dahme-Spreewald,424,,19,115106
Darmstadt,613,,30,266413
Deggendorf,424,,14,147189
Delmenhorst,439,,27,180222
Dessau-Roßlau,731,,40,195861
Diepholz,74,,1,40792
Dillingen a.d. Donau,85,,2,122347
Dingolfing-Landau,122,,3,200025
Dithmarschen,138,,5,157781
Donau-Ries,63,,0,190560
Donnersbergkreis,118,,5,104948
Dortmund,326,,2,245611
Dresden,272,,8,142631
Duisburg,486,,15,195201
Düren,56,,0,106356
Dusseldorf,117,,9,80868
Ebersberg,106,,5,184582
Eichsfeld,55,,1,83051
Eichstätt,545,,12,139455
Eifelkreis Bitburg-Prüm,683,,39,120659
Eisenach,277,,7,126958
Elbe-Elster,92,,1,163455
Emden,54,,3,215113
Emmendingen,75,,1,208886
Emsland,1886,,104,260983
Ennepe-Ruhr-Kreis,383,,14,63324
Enzkreis,164,,4,79690
Erding,1112,,24,599780
Erfurt,200,,3,154201
Erlangen,855,,26,547625
Erlangen-Höchstadt,149,,4,122308
Erzgebirgskreis,571,,17,451007
Essen,405,,14,283455
Esslingen,160,,3,102937
Euskirchen,191,,3,187157
Flensburg,920,,53,470089
