city,cases,hospitalize,deaths,population
Barking and Dagenham,441,,,
Barnet,1147,,,
Barnsley,538,,,
Bath and North East Somerset,198,,,
Bedford,376,,,
Bexley,576,,,
Birmingham,2617,,,
Blackpool,350,,,
"Bournemouth, Christchurch and Poole",385,,,
Bradford,697,,,
Brent,1298,,,
Brighton and Hove,339,,,
"Bristol, City of",553,,,
Bromley,968,,,
Buckinghamshire,730,,,
Bury,396,,,
Calderdale,214,,,
Camden,549,,,
Cheshire East,732,,,
Cheshire West and Chester,681,,,
Cornwall and Isles of Scilly,452,,,
County Durham,1149,,,
Croydon,1280,,,
Cumbria,1675,,,
Derby,440,,,
Derbyshire,1047,,,
Devon,627,,,
Doncaster,370,,,
Dorset,287,,,
Dudley,661,,,
Ealing,993,,,
East Midlands,6082,,,
East of England,9172,,,
East Riding of Yorkshire,449,,,
East Sussex,495,,,
Enfield,775,,,
Essex,2202,,,
Gateshead,717,,,
Gloucestershire,1084,,,
Greenwich,602,,,
Hackney,590,,,
Halton,299,,,
Hammersmith and Fulham,551,,,
Hampshire,2503,,,
Harrow,853,,,
Hartlepool,149,,,
Havering,605,,,
"Herefordshire, County of",211,,,
Hertfordshire,2090,,,
Hillingdon,694,,,
Hounslow,615,,,
Isle of Wight,86,,,
Islington,393,,,
Kensington and Chelsea,447,,,
Kent,3125,,,
"Kingston upon Hull, City of",355,,,
Kirklees,481,,,
Knowsley,479,,,
Lambeth,1087,,,
Lancashire,2460,,,
Leeds,1170,,,
Leicester,577,,,
Leicestershire,819,,,
Lewisham,872,,,
Lincolnshire,748,,,
Liverpool,1278,,,
London,23335,,4542,
Manchester,975,,,547627
Medway,574,,,
Middlesbrough,472,,,
Newcastle upon Tyne,810,,,
Newham,920,,,
Norfolk,1268,,,
North East,6735,,,
North East Lincolnshire,123,,,
North Lincolnshire,280,,,
North Somerset,200,,,
North Tyneside,429,,,
North West,16701,,,
North Yorkshire,773,,,
Northamptonshire,974,,,
Northumberland,692,,,
Nottingham,467,,,
Nottinghamshire,992,,,
Oldham,549,,,
Oxfordshire,1369,,,
Plymouth,264,,,
Portsmouth,260,,,
Redbridge,645,,,
Redcar and Cleveland,269,,,
Richmond upon Thames,352,,,
Rochdale,395,,,
Rotherham,582,,,
Salford,528,,,
Sandwell,870,,,
Sefton,738,,,
Sheffield,1875,,,
Shropshire,409,,,
Slough,345,,,
Somerset,428,,,
South East,15427,,,
South Gloucestershire,312,,,
South Tyneside,453,,,
South West,5689,,,
Southampton,428,,,
Southwark,1142,,,
St. Helens,575,,,
Staffordshire,1501,,,
Stockport,727,,,
Stoke-on-Trent,371,,,
Suffolk,876,,,
Sunderland,1052,,,
Surrey,2333,,,
Swindon,332,,,
Tameside,417,,,
Telford and Wrekin,219,,,
Thurrock,256,,,
Torbay,182,,,
Tower Hamlets,586,,,
Trafford,534,,,
Wakefield,461,,,
Walsall,798,,,
Waltham Forest,690,,,
Wandsworth,883,,,
Wandsworth,883,,,
Warrington,533,,,
Warrington,533,,,
Warwickshire,1008,,,
West Berkshire,283,,,
West Berkshire,283,,,
West Midlands,11477,,,
West Sussex,994,,,
West Sussex,997,,,
Westminster,573,,,
Wigan,549,,,
Wigan,549,,,
Wiltshire,385,,,
Wiltshire,385,,,
Windsor and Maidenhead,219,,,
Wirral,901,,,
Wirral,901,,,
Wokingham,324,,,
Wokingham,325,,,
Wolverhampton,693,,,
Wolverhampton,693,,,
Worcestershire,1021,,,
Worcestershire,1021,,,
York,231,,,
York,232,,,
Yorkshire and The Humber,8599,,,
