,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,walking,transit,days
39,KOR,South Korea,2020-02-21,155,75,1,1,3.023,1.463,0.02,0.02,14816.0,2655.0,0.289,0.052000000000000005,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,79.63,71.52,0,1
40,KOR,South Korea,2020-02-22,345,190,2,1,6.729,3.7060000000000004,0.039,0.02,19621.0,4805.0,0.38299999999999995,0.094,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,67.53,62.77,0,2
41,KOR,South Korea,2020-02-23,601,256,5,3,11.722000000000001,4.993,0.098,0.059000000000000004,22633.0,3012.0,0.441,0.059000000000000004,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,64.55,57.99,0,3
42,KOR,South Korea,2020-02-24,762,161,7,2,14.863,3.14,0.13699999999999998,0.039,28615.0,5982.0,0.5579999999999999,0.11699999999999999,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,62.29,51.5,0,4
43,KOR,South Korea,2020-02-25,892,130,8,1,17.398,2.536,0.156,0.02,36716.0,8101.0,0.716,0.158,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,62.25,54.24,0,5
44,KOR,South Korea,2020-02-26,1146,254,11,3,22.353,4.954,0.215,0.059000000000000004,46127.0,9411.0,0.9,0.184,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,61.46,50.56,0,6
45,KOR,South Korea,2020-02-27,1595,449,12,1,31.11,8.758,0.23399999999999999,0.02,57990.0,11863.0,1.131,0.231,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,55.92,41.83,0,7
46,KOR,South Korea,2020-02-28,2022,427,13,1,39.439,8.329,0.254,0.02,70940.0,12950.0,1.3840000000000001,0.253,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,55.41,40.67,0,8
47,KOR,South Korea,2020-02-29,2931,909,16,3,57.169,17.73,0.312,0.059000000000000004,85693.0,14753.0,1.671,0.28800000000000003,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,51.12,38.09,0,9
48,KOR,South Korea,2020-03-01,3526,595,17,1,68.774,11.605,0.332,0.02,96985.0,11292.0,1.892,0.22,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,52.72,39.13,0,10
49,KOR,South Korea,2020-03-02,4212,686,22,5,82.155,13.38,0.429,0.098,109591.0,12606.0,2.138,0.24600000000000002,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,52.48,37.82,0,11
50,KOR,South Korea,2020-03-03,4812,600,28,6,93.85799999999999,11.703,0.546,0.11699999999999999,125851.0,16260.0,2.455,0.317,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,53.41,37.45,0,12
51,KOR,South Korea,2020-03-04,5328,516,32,4,103.92200000000001,10.065,0.624,0.078,136707.0,10856.0,2.6660000000000004,0.212,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,52.79,35.81,0,13
52,KOR,South Korea,2020-03-05,5766,438,35,3,112.465,8.543,0.6829999999999999,0.059000000000000004,146541.0,9834.0,2.858,0.192,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,53.55,39.03,0,14
53,KOR,South Korea,2020-03-06,6284,518,42,7,122.569,10.104,0.8190000000000001,0.13699999999999998,164740.0,18199.0,3.213,0.355,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,57.92,39.29,0,15
54,KOR,South Korea,2020-03-07,6767,483,44,2,131.99,9.421,0.858,0.039,178189.0,13449.0,3.4760000000000004,0.262,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,55.26,40.01,0,16
55,KOR,South Korea,2020-03-08,7134,367,50,6,139.148,7.1579999999999995,0.975,0.11699999999999999,188518.0,10329.0,3.677,0.201,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,56.98,43.69,0,17
56,KOR,South Korea,2020-03-09,7382,248,51,1,143.985,4.837,0.995,0.02,196618.0,8100.0,3.835,0.158,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,53.45,35.61,0,18
57,KOR,South Korea,2020-03-10,7513,131,54,3,146.54,2.555,1.053,0.059000000000000004,210144.0,13526.0,4.099,0.264,cases tested,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,56.01,39.77,0,19
