,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
54,SWE,Sweden,2020-03-07,137,76,0,0,13.565,7.525,0.0,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,128.48,112.09,135.61,1
55,SWE,Sweden,2020-03-08,161,24,0,0,15.942,2.376,0.0,0.0,5700.0,,0.564,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,124.21,102.58,91.56,2
56,SWE,Sweden,2020-03-09,203,42,0,0,20.1,4.159,0.0,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,103.79,97.69,101.54,3
57,SWE,Sweden,2020-03-10,248,45,0,0,24.555999999999997,4.456,0.0,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,103.06,93.21,100.22,4
58,SWE,Sweden,2020-03-11,326,78,0,0,32.28,7.723,0.0,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,101.18,86.39,97.13,5
59,SWE,Sweden,2020-03-12,462,136,1,1,45.746,13.466,0.099,0.099,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,92.71,76.67,77.25,6
60,SWE,Sweden,2020-03-13,620,158,1,0,61.391000000000005,15.645,0.099,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,94.36,74.84,85.86,7
61,SWE,Sweden,2020-03-14,775,155,1,0,76.738,15.347999999999999,0.099,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,95.97,71.74,89.72,8
62,SWE,Sweden,2020-03-15,924,149,1,0,91.492,14.754000000000001,0.099,0.0,14700.0,,1.456,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,92.1,68.12,60.48,9
63,SWE,Sweden,2020-03-16,1032,108,3,2,102.186,10.694,0.297,0.198,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,79.3,61.39,67.77,10
64,SWE,Sweden,2020-03-17,1121,89,7,4,110.99799999999999,8.812999999999999,0.693,0.396,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,77.96,56.91,63.3,11
65,SWE,Sweden,2020-03-18,1167,46,8,1,115.553,4.555,0.792,0.099,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,78.77,55.25,61.53,12
66,SWE,Sweden,2020-03-19,1301,134,10,2,128.821,13.267999999999999,0.99,0.198,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,83.49,55.6,70.13,13
67,SWE,Sweden,2020-03-20,1423,122,10,0,140.901,12.08,0.99,0.0,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,84.37,56.92,69.54,14
68,SWE,Sweden,2020-03-21,1623,200,16,6,160.705,19.803,1.584,0.594,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,89.08,59.23,74.99,15
69,SWE,Sweden,2020-03-22,1746,123,20,4,172.88400000000001,12.179,1.98,0.396,25000.0,,2.475,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,87.35,55.55,64.46,16
70,SWE,Sweden,2020-03-23,1906,160,21,1,188.727,15.843,2.079,0.099,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,76.7,53.38,62.42,17
71,SWE,Sweden,2020-03-24,2016,110,25,4,199.618,10.892000000000001,2.475,0.396,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,78.65,53.34,65.43,18
72,SWE,Sweden,2020-03-25,2272,256,36,11,224.967,25.348000000000003,3.565,1.089,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,84.11,53.46,70.06,19
73,SWE,Sweden,2020-03-26,2510,238,42,6,248.533,23.566,4.159,0.594,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,87.32,53.25,72.9,20
74,SWE,Sweden,2020-03-27,2806,296,66,24,277.842,29.309,6.535,2.376,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,90.68,54.25,79.15,21
75,SWE,Sweden,2020-03-28,3046,240,92,26,301.606,23.764,9.11,2.574,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,91.84,55.07,76.63,22
76,SWE,Sweden,2020-03-29,3447,401,102,10,341.31199999999995,39.705999999999996,10.1,0.99,37300.0,,3.693,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,88.57,57.56,64.29,23
77,SWE,Sweden,2020-03-30,3700,253,110,8,366.36300000000006,25.051,10.892000000000001,0.792,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,80.65,53.14,61.77,24
78,SWE,Sweden,2020-03-31,4028,328,146,36,398.841,32.478,14.456,3.565,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,83.41,53.02,68.61,25
79,SWE,Sweden,2020-04-01,4435,407,180,34,439.14099999999996,40.3,17.823,3.367,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,84.88,54.34,70.51,26
80,SWE,Sweden,2020-04-02,4947,512,239,59,489.837,50.696999999999996,23.665,5.8420000000000005,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,84.57,51.15,62.42,27
81,SWE,Sweden,2020-04-03,5466,519,282,43,541.227,51.39,27.923000000000002,4.258,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,87.5,51.85,68.73,28
82,SWE,Sweden,2020-04-04,6078,612,333,51,601.826,60.598,32.973,5.05,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,86.9,53.24,74.44,29
83,SWE,Sweden,2020-04-05,6443,365,373,40,637.967,36.141,36.933,3.9610000000000003,55000.0,,5.446000000000001,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,90.01,55.66,70.93,30
84,SWE,Sweden,2020-04-06,6830,387,401,28,676.2869999999999,38.32,39.705999999999996,2.772,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,95.39,59.93,83.89,31
85,SWE,Sweden,2020-04-07,7206,376,477,76,713.5169999999999,37.23,47.231,7.525,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,96.31,60.7,77.63,32
86,SWE,Sweden,2020-04-08,7693,487,591,114,761.738,48.221000000000004,58.519,11.288,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,102.94,58.55,82.36,33
87,SWE,Sweden,2020-04-09,8419,726,687,96,833.625,71.88600000000001,68.025,9.506,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,104.48,59.83,78.78,34
88,SWE,Sweden,2020-04-10,9141,722,793,106,905.115,71.49,78.521,10.495999999999999,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,90.58,55.36,70.35,35
89,SWE,Sweden,2020-04-11,9685,544,870,77,958.98,53.865,86.145,7.624,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,79.24,48.85,61.91,36
90,SWE,Sweden,2020-04-12,10151,466,887,17,1005.122,46.141999999999996,87.82799999999999,1.683,74900.0,,7.416,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,84.58,53.02,56.47,37
91,SWE,Sweden,2020-04-13,10483,332,899,12,1037.996,32.874,89.016,1.188,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,94.74,58.53,62.45,38
92,SWE,Sweden,2020-04-14,10948,465,919,20,1084.039,46.043,90.99700000000001,1.98,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,91.83,60.46,71.63,39
93,SWE,Sweden,2020-04-15,11445,497,1033,114,1133.25,49.211000000000006,102.285,11.288,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,93.95,60.02,79.32,40
94,SWE,Sweden,2020-04-16,11927,482,1203,170,1180.976,47.726000000000006,119.118,16.833,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,94.94,58.48,77.12,41
95,SWE,Sweden,2020-04-17,12540,613,1333,130,1241.674,60.696999999999996,131.99,12.872,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,100.77,59.88,82.08,42
96,SWE,Sweden,2020-04-18,13216,676,1400,67,1308.609,66.936,138.624,6.6339999999999995,,,,,,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,99.89,62,84.62,43
97,SWE,Sweden,2020-04-19,13822,606,1511,111,1368.614,60.004,149.615,10.991,94900.0,,9.397,,people tested,10099270,24.718000000000004,41,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,99.7,63.09,78.39,44
