,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
57,DNK,Denmark,2020-03-10,113,75,0,0,19.509,12.948,0.0,0.0,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,100.99,91.14,93.53,1
58,DNK,Denmark,2020-03-11,264,151,0,0,45.57899999999999,26.07,0.0,0.0,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,90.37,77.56,91.86,2
59,DNK,Denmark,2020-03-12,516,252,0,0,89.085,43.507,0.0,0.0,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,67.62,48.7,54.89,3
60,DNK,Denmark,2020-03-13,676,160,0,0,116.709,27.623,0.0,0.0,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,66.97,45.07,62.04,4
61,DNK,Denmark,2020-03-14,804,128,0,0,138.80700000000002,22.099,0.0,0.0,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,62.05,39.65,66.91,5
62,DNK,Denmark,2020-03-15,827,23,0,0,142.778,3.971,0.0,0.0,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,56.49,33.91,46.67,6
63,DNK,Denmark,2020-03-16,875,48,1,1,151.065,8.287,0.17300000000000001,0.17300000000000001,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,62.62,32.69,55.9,7
64,DNK,Denmark,2020-03-17,932,57,1,0,160.906,9.841000000000001,0.17300000000000001,0.0,7630.0,,1.317,,people tested,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,58.82,28.17,49.84,8
65,DNK,Denmark,2020-03-18,1024,92,4,3,176.78900000000002,15.883,0.691,0.518,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,55.46,25.76,45.91,9
66,DNK,Denmark,2020-03-19,1115,91,4,0,192.5,15.710999999999999,0.691,0.0,8847.0,,1.527,,people tested,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,59.78,29.16,56.3,10
67,DNK,Denmark,2020-03-20,1151,36,6,2,198.715,6.215,1.036,0.345,11657.0,2810.0,2.013,0.485,people tested,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,60.23,27.97,54.85,11
68,DNK,Denmark,2020-03-21,1255,104,9,3,216.671,17.955,1.554,0.518,12351.0,694.0,2.1319999999999997,0.12,people tested,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,56.59,27.14,59.29,12
69,DNK,Denmark,2020-03-22,1326,71,13,4,228.928,12.258,2.244,0.691,12843.0,492.0,2.217,0.085,people tested,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,55.81,27.42,50.87,13
