,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
40,JPN,Japan,2020-02-22,105,12,1,0,0.83,0.095,0.008,0.0,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,142.83,130.41,145.52,1
41,JPN,Japan,2020-02-23,132,27,1,0,1.044,0.213,0.008,0.0,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,116.21,112.61,121.18,2
42,JPN,Japan,2020-02-24,144,12,1,0,1.139,0.095,0.008,0.0,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,107.01,104.56,112.83,3
43,JPN,Japan,2020-02-25,144,0,1,0,1.139,0.0,0.008,0.0,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,107.46,102.38,111.53,4
44,JPN,Japan,2020-02-26,164,20,1,0,1.297,0.158,0.008,0.0,1890.0,,0.015,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,103.29,97.64,104.84,5
45,JPN,Japan,2020-02-27,186,22,3,2,1.4709999999999999,0.174,0.024,0.016,2058.0,,0.016,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,112.22,102.82,112.22,6
46,JPN,Japan,2020-02-28,210,24,3,0,1.66,0.19,0.024,0.0,2209.0,,0.017,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,114.58,104.61,116.77,7
47,JPN,Japan,2020-02-29,230,20,3,0,1.819,0.158,0.024,0.0,2339.0,,0.018000000000000002,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,103.92,98.18,101.49,8
48,JPN,Japan,2020-03-01,239,9,5,2,1.89,0.071,0.04,0.016,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,105.91,100.79,113.27,9
49,JPN,Japan,2020-03-02,254,15,6,1,2.008,0.11900000000000001,0.047,0.008,2517.0,,0.02,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,103.24,97.95,103.49,10
50,JPN,Japan,2020-03-03,254,0,6,0,2.008,0.0,0.047,0.0,2684.0,,0.021,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,106.01,100.36,109.96,11
51,JPN,Japan,2020-03-04,268,14,6,0,2.119,0.111,0.047,0.0,6519.0,,0.052000000000000005,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,110.8,104.22,117.33,12
52,JPN,Japan,2020-03-05,317,49,6,0,2.506,0.387,0.047,0.0,6777.0,,0.054000000000000006,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,122.87,109.49,121.2,13
53,JPN,Japan,2020-03-06,349,32,6,0,2.759,0.253,0.047,0.0,7476.0,,0.059000000000000004,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,115.69,101.58,102.85,14
54,JPN,Japan,2020-03-07,408,59,6,0,3.2260000000000004,0.466,0.047,0.0,8029.0,,0.063,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,113.65,106,118.47,15
55,JPN,Japan,2020-03-08,455,47,6,0,3.5980000000000003,0.37200000000000005,0.047,0.0,8176.0,,0.065,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,108.76,102.41,108.01,16
56,JPN,Japan,2020-03-09,488,33,7,1,3.858,0.261,0.055,0.008,8286.0,,0.066,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,116.12,109.49,126.08,17
57,JPN,Japan,2020-03-10,514,26,9,2,4.064,0.20600000000000002,0.071,0.016,9600.0,,0.076,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,117.83,111.98,132.61,18
58,JPN,Japan,2020-03-11,568,54,12,3,4.4910000000000005,0.42700000000000005,0.095,0.024,10024.0,,0.079,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,115.47,110.47,130.25,19
59,JPN,Japan,2020-03-12,619,51,15,3,4.894,0.40299999999999997,0.11900000000000001,0.024,10205.0,,0.081,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,123.4,108.61,112.95,20
60,JPN,Japan,2020-03-13,675,56,19,4,5.337000000000001,0.44299999999999995,0.15,0.032,11231.0,,0.08900000000000001,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,133.14,113.41,124.7,21
61,JPN,Japan,2020-03-14,737,62,21,2,5.827000000000001,0.49,0.166,0.016,12060.0,,0.095,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,120.19,110.5,122.39,22
62,JPN,Japan,2020-03-15,780,43,22,1,6.167000000000001,0.34,0.174,0.008,13026.0,,0.10300000000000001,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,119.97,112.5,129.51,23
63,JPN,Japan,2020-03-16,814,34,24,2,6.436,0.26899999999999996,0.19,0.016,13068.0,,0.10300000000000001,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,123.25,115.65,136.79,24
64,JPN,Japan,2020-03-17,824,10,28,4,6.515,0.079,0.221,0.032,15655.0,,0.124,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,127.56,118.04,138.72,25
65,JPN,Japan,2020-03-18,829,5,28,0,6.555,0.04,0.221,0.0,14525.0,,0.115,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,152.83,127.64,142.88,26
66,JPN,Japan,2020-03-19,873,44,29,1,6.902,0.348,0.22899999999999998,0.008,15354.0,,0.121,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,161.59,131.95,149.4,27
67,JPN,Japan,2020-03-20,950,77,33,4,7.511,0.609,0.261,0.032,18844.0,,0.149,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,148.75,123.18,140.39,28
68,JPN,Japan,2020-03-21,1007,57,35,2,7.962000000000001,0.451,0.27699999999999997,0.016,18963.0,,0.15,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,127.72,116.13,133.79,29
69,JPN,Japan,2020-03-22,1046,39,36,1,8.27,0.308,0.285,0.008,20228.0,,0.16,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,124.82,116.35,134.98,30
70,JPN,Japan,2020-03-23,1089,43,41,5,8.61,0.34,0.324,0.04,20340.0,,0.161,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,128.24,118.84,141.1,31
71,JPN,Japan,2020-03-24,1128,39,42,1,8.919,0.308,0.332,0.008,24430.0,,0.193,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,128.82,117.95,142,32
72,JPN,Japan,2020-03-25,1193,65,43,1,9.433,0.514,0.34,0.008,23521.0,,0.18600000000000003,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,121.43,109.55,123.41,33
73,JPN,Japan,2020-03-26,1268,75,45,2,10.026,0.593,0.35600000000000004,0.016,25171.0,,0.19899999999999998,,people tested,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,122.59,102.47,105.55,34
