,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
54,CHE,Switzerland,2020-03-07,209,122,1,0,24.149,14.097000000000001,0.11599999999999999,0.0,6268.0,731.0,0.7240000000000001,0.084,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,108.9,95.23,123.3,1
55,CHE,Switzerland,2020-03-08,264,55,1,0,30.504,6.355,0.11599999999999999,0.0,7002.0,734.0,0.809,0.085,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,106.95,87.16,87.32,2
56,CHE,Switzerland,2020-03-09,332,68,2,1,38.361,7.857,0.231,0.11599999999999999,8579.0,1577.0,0.991,0.182,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,95.1,90.4,90.24,3
57,CHE,Switzerland,2020-03-10,374,42,2,0,43.214,4.853,0.231,0.0,10683.0,2104.0,1.234,0.243,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,95.25,88.38,89.77,4
58,CHE,Switzerland,2020-03-11,490,116,3,1,56.617,13.402999999999999,0.34700000000000003,0.11599999999999999,13284.0,2601.0,1.535,0.301,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,97.44,84.67,101,5
59,CHE,Switzerland,2020-03-12,642,152,4,1,74.18,17.563,0.462,0.11599999999999999,17891.0,4607.0,2.0669999999999997,0.532,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,86.01,73.36,90,6
60,CHE,Switzerland,2020-03-13,854,212,4,0,98.676,24.496,0.462,0.0,22508.0,4617.0,2.6010000000000004,0.5329999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,84.32,63.2,88.42,7
61,CHE,Switzerland,2020-03-14,1121,267,7,3,129.526,30.851,0.809,0.34700000000000003,27475.0,4967.0,3.175,0.574,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,74.03,56.69,79.34,8
62,CHE,Switzerland,2020-03-15,1359,238,11,4,157.026,27.5,1.271,0.462,30258.0,2783.0,3.4960000000000004,0.322,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,70.65,47.61,70.87,9
63,CHE,Switzerland,2020-03-16,2200,841,13,2,254.2,97.17399999999999,1.5019999999999998,0.231,35445.0,5187.0,4.096,0.599,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,67.59,41.84,65.25,10
64,CHE,Switzerland,2020-03-17,2200,0,14,1,254.2,0.0,1.618,0.11599999999999999,44382.0,8937.0,5.127999999999999,1.033,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,59.59,33.84,55.6,11
65,CHE,Switzerland,2020-03-18,2650,450,19,5,306.195,51.995,2.195,0.578,54605.0,10223.0,6.309,1.181,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,57.32,32.12,57.14,12
66,CHE,Switzerland,2020-03-19,3010,360,21,2,347.791,41.596000000000004,2.426,0.231,64148.0,9543.0,7.412000000000001,1.103,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,55.1,29.17,54.05,13
67,CHE,Switzerland,2020-03-20,3888,878,33,12,449.24,101.449,3.813,1.3869999999999998,72263.0,8115.0,8.35,0.938,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,51.83,26.17,49.97,14
68,CHE,Switzerland,2020-03-21,4840,952,43,10,559.239,109.999,4.968,1.155,78478.0,6215.0,9.068,0.718,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,40.3,22.24,41.14,15
69,CHE,Switzerland,2020-03-22,6077,1237,56,13,702.168,142.929,6.471,1.5019999999999998,82101.0,3623.0,9.486,0.419,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,38.61,22.54,34.36,16
70,CHE,Switzerland,2020-03-23,6971,894,60,4,805.466,103.29700000000001,6.933,0.462,88181.0,6080.0,10.189,0.703,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,48.87,24.29,43.81,17
71,CHE,Switzerland,2020-03-24,8015,1044,66,6,926.095,120.62899999999999,7.626,0.693,93993.0,5812.0,10.86,0.672,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,50.18,24.12,45.97,18
72,CHE,Switzerland,2020-03-25,8789,774,86,20,1015.5269999999999,89.432,9.937000000000001,2.311,101358.0,7365.0,11.710999999999999,0.851,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,50.97,24.08,45.61,19
73,CHE,Switzerland,2020-03-26,9714,925,103,17,1122.407,106.87899999999999,11.901,1.964,109626.0,8268.0,12.667,0.955,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,51.57,23.91,45.53,20
74,CHE,Switzerland,2020-03-27,10714,1000,161,58,1237.952,115.545,18.602999999999998,6.702000000000001,116726.0,7100.0,13.487,0.82,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,55.34,24.44,53.59,21
75,CHE,Switzerland,2020-03-28,12104,1390,197,36,1398.56,160.608,22.761999999999997,4.16,122511.0,5785.0,14.155999999999999,0.6679999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,52.01,25.05,57.67,22
76,CHE,Switzerland,2020-03-29,13152,1048,235,38,1519.651,121.09100000000001,27.153000000000002,4.391,125915.0,3404.0,14.549000000000001,0.39299999999999996,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,42.65,22.39,33.78,23
77,CHE,Switzerland,2020-03-30,14274,1122,257,22,1649.293,129.642,29.695,2.542,130102.0,4187.0,15.033,0.484,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,50.7,23.59,41.09,24
78,CHE,Switzerland,2020-03-31,15412,1138,295,38,1780.783,131.49,34.086,4.391,136865.0,6763.0,15.814,0.7809999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,56.12,26.86,51.1,25
79,CHE,Switzerland,2020-04-01,16108,696,373,78,1861.203,80.419,43.098,9.013,143625.0,6760.0,16.595,0.7809999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,56.89,26.63,53.27,26
80,CHE,Switzerland,2020-04-02,17070,962,378,5,1972.3570000000002,111.155,43.676,0.578,150765.0,7140.0,17.42,0.825,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,58.03,26.33,54.62,27
81,CHE,Switzerland,2020-04-03,18194,1124,432,54,2102.23,129.873,49.916000000000004,6.239,157308.0,6543.0,18.176,0.7559999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,59.52,27.05,60.12,28
82,CHE,Switzerland,2020-04-04,19227,1033,484,52,2221.589,119.35799999999999,55.924,6.007999999999999,162683.0,5375.0,18.797,0.621,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,54.62,25.8,61.01,29
83,CHE,Switzerland,2020-04-05,20201,974,540,56,2334.13,112.541,62.394,6.471,166374.0,3691.0,19.224,0.426,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,56.98,27.86,62.48,30
84,CHE,Switzerland,2020-04-06,21022,821,559,19,2428.992,94.863,64.59,2.195,170336.0,3962.0,19.682000000000002,0.45799999999999996,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,60.38,27.57,59.32,31
85,CHE,Switzerland,2020-04-07,21574,552,584,25,2492.7729999999997,63.781000000000006,67.47800000000001,2.889,176851.0,6515.0,20.434,0.753,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,64.19,28.91,63.28,32
86,CHE,Switzerland,2020-04-08,22164,590,641,57,2560.945,68.172,74.065,6.586,183585.0,6734.0,21.212,0.778,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,66.9,30.46,67.22,33
87,CHE,Switzerland,2020-04-09,22710,546,705,64,2624.033,63.088,81.459,7.395,189708.0,6123.0,21.92,0.7070000000000001,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,64.73,28.46,66.23,34
88,CHE,Switzerland,2020-04-10,23495,785,756,51,2714.736,90.70299999999999,87.352,5.893,193924.0,4216.0,22.406999999999996,0.48700000000000004,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,58.77,29.91,68,35
89,CHE,Switzerland,2020-04-11,24228,733,805,49,2799.43,84.695,93.014,5.662000000000001,196799.0,2875.0,22.739,0.332,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,59.63,29.12,68.16,36
90,CHE,Switzerland,2020-04-12,24820,592,831,26,2867.833,68.403,96.01799999999999,3.0039999999999996,199227.0,2428.0,23.02,0.281,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,51.83,28.31,60.67,37
91,CHE,Switzerland,2020-04-13,25220,400,858,27,2914.051,46.218,99.13799999999999,3.12,201442.0,2215.0,23.276,0.256,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,62.12,31.32,64.43,38
92,CHE,Switzerland,2020-04-14,25499,279,858,0,2946.288,32.236999999999995,99.13799999999999,0.0,205595.0,4153.0,23.756,0.48,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,66.63,32.24,59.93,39
93,CHE,Switzerland,2020-04-15,25753,254,900,42,2975.637,29.348000000000003,103.991,4.853,211105.0,5510.0,24.392,0.637,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,70.18,34.04,67.13,40
94,CHE,Switzerland,2020-04-16,26336,583,973,73,3043.0,67.363,112.426,8.435,216230.0,5125.0,24.984,0.5920000000000001,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,71.22,33.46,68.44,41
95,CHE,Switzerland,2020-04-17,26651,315,1016,43,3079.3959999999997,36.397,117.39399999999999,4.968,220881.0,4651.0,25.522,0.537,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,72.89,35.43,72.89,42
96,CHE,Switzerland,2020-04-18,26997,346,1058,42,3119.375,39.979,122.24700000000001,4.853,224702.0,3821.0,25.963,0.441,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,67.98,33.75,71.94,43
97,CHE,Switzerland,2020-04-19,27322,325,1110,52,3156.927,37.552,128.255,6.007999999999999,226990.0,2288.0,26.228,0.264,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,66.18,35.2,67.65,44
98,CHE,Switzerland,2020-04-20,27658,336,1134,24,3195.7509999999997,38.823,131.028,2.773,230273.0,3283.0,26.607,0.379,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,68.48,34.66,61.7,45
99,CHE,Switzerland,2020-04-21,27826,168,1141,7,3215.1620000000003,19.412,131.83700000000002,0.809,235181.0,4908.0,27.174,0.5670000000000001,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,70.2,34.56,63.66,46
100,CHE,Switzerland,2020-04-22,27981,155,1186,45,3233.072,17.91,137.037,5.2,239881.0,4700.0,27.717,0.5429999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,74.07,37.65,69.95,47
101,CHE,Switzerland,2020-04-23,28186,205,1216,30,3256.758,23.686999999999998,140.503,3.466,244428.0,4547.0,28.241999999999997,0.525,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,75.19,36.13,70.87,48
102,CHE,Switzerland,2020-04-24,28414,228,1267,51,3283.103,26.344,146.39600000000002,5.893,249273.0,4845.0,28.802,0.56,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,76.14,36.07,75.27,49
103,CHE,Switzerland,2020-04-25,28595,181,1308,41,3304.0159999999996,20.914,151.13299999999998,4.737,253402.0,4129.0,29.279,0.47700000000000004,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,69.71,34.43,72.22,50
104,CHE,Switzerland,2020-04-26,28811,216,1328,20,3328.974,24.958000000000002,153.444,2.311,255810.0,2408.0,29.558000000000003,0.278,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,69.02,37.92,65.37,51
105,CHE,Switzerland,2020-04-27,28978,167,1336,8,3348.27,19.296,154.368,0.924,259476.0,3666.0,29.980999999999998,0.424,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,75.27,40.88,69.1,52
106,CHE,Switzerland,2020-04-28,29081,103,1352,16,3360.171,11.901,156.217,1.849,264991.0,5515.0,30.618000000000002,0.637,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,73.68,38.42,58.86,53
107,CHE,Switzerland,2020-04-29,29181,100,1379,27,3371.7259999999997,11.555,159.33700000000002,3.12,270829.0,5838.0,31.293000000000003,0.675,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,75.68,40.82,65.03,54
108,CHE,Switzerland,2020-04-30,29324,143,1407,28,3388.2490000000003,16.523,162.572,3.235,275666.0,4837.0,31.851999999999997,0.5589999999999999,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,73.85,38.82,59.72,55
109,CHE,Switzerland,2020-05-01,29503,179,1422,15,3408.9320000000002,20.683000000000003,164.305,1.733,280131.0,4465.0,32.368,0.516,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,71.82,37.35,59.78,56
110,CHE,Switzerland,2020-05-02,29622,119,1434,12,3422.6809999999996,13.75,165.692,1.3869999999999998,283309.0,3178.0,32.735,0.36700000000000005,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,66.34,35.63,55.61,57
111,CHE,Switzerland,2020-05-03,29734,112,1466,32,3435.6220000000003,12.940999999999999,169.389,3.697,285886.0,2577.0,33.033,0.298,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,75.09,41.94,70.25,58
112,CHE,Switzerland,2020-05-04,29822,88,1472,6,3445.79,10.168,170.083,0.693,289662.0,3776.0,33.469,0.436,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,79.94,46.51,74.23,59
113,CHE,Switzerland,2020-05-05,29898,76,1476,4,3454.572,8.781,170.545,0.462,295544.0,5882.0,34.149,0.68,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,79.12,44.18,64.94,60
114,CHE,Switzerland,2020-05-06,29926,28,1482,6,3457.8070000000002,3.235,171.238,0.693,300859.0,5315.0,34.763000000000005,0.614,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,84.15,45.66,76.04,61
115,CHE,Switzerland,2020-05-07,29977,51,1504,22,3463.7,5.893,173.78,2.542,305405.0,4546.0,35.288000000000004,0.525,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,87.03,47.04,83.02,62
116,CHE,Switzerland,2020-05-08,30043,66,1517,13,3471.3259999999996,7.626,175.282,1.5019999999999998,309206.0,3801.0,35.727,0.439,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,90.98,48.28,85.82,63
117,CHE,Switzerland,2020-05-09,30124,81,1525,8,3480.685,9.359,176.207,0.924,309595.0,,35.772,0.045,tests performed,8654618,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,84.89,45.16,85.63,64
