,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
59,CAN,Canada,2020-03-12,103,10,1,0,2.7289999999999996,0.265,0.026000000000000002,0.0,,,,,,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,100.22,83.35,106.32,1
60,CAN,Canada,2020-03-13,138,35,1,0,3.656,0.927,0.026000000000000002,0.0,,,,,,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,101.24,76.4,104.32,2
61,CAN,Canada,2020-03-14,176,38,1,0,4.663,1.0070000000000001,0.026000000000000002,0.0,,,,,,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,87.16,63.75,103,3
62,CAN,Canada,2020-03-15,244,68,1,0,6.465,1.8019999999999998,0.026000000000000002,0.0,,,,,,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,68.17,51.19,73.82,4
63,CAN,Canada,2020-03-16,304,60,1,0,8.055,1.59,0.026000000000000002,0.0,,,,,,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,74.1,50,75.7,5
64,CAN,Canada,2020-03-17,424,120,4,3,11.234000000000002,3.179,0.106,0.079,,,,,,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,67.21,40.26,65.68,6
65,CAN,Canada,2020-03-18,569,145,8,4,15.075999999999999,3.842,0.212,0.106,53975.0,,1.43,,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,63.91,35.59,62.44,7
66,CAN,Canada,2020-03-19,690,121,9,1,18.282,3.2060000000000004,0.23800000000000002,0.026000000000000002,54956.0,981.0,1.456,0.026000000000000002,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,62.16,31.53,60.16,8
67,CAN,Canada,2020-03-20,846,156,10,1,22.415,4.133,0.265,0.026000000000000002,76814.0,21858.0,2.035,0.579,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,63.93,30.3,59.11,9
68,CAN,Canada,2020-03-21,971,125,12,2,25.726999999999997,3.312,0.318,0.053,88883.0,12069.0,2.355,0.32,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,53.45,26.48,53.11,10
69,CAN,Canada,2020-03-22,1302,331,18,6,34.497,8.77,0.47700000000000004,0.159,98824.0,9941.0,2.6180000000000003,0.263,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,41.73,22.26,43.54,11
70,CAN,Canada,2020-03-23,1430,128,20,2,37.889,3.391,0.53,0.053,107147.0,8323.0,2.839,0.221,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,49.42,23.58,45.64,12
71,CAN,Canada,2020-03-24,1646,216,24,4,43.611999999999995,5.723,0.636,0.106,125062.0,17915.0,3.3139999999999996,0.475,people tested,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12,16.6,,2.5,48.66,21.68,48.44,13
