,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
48,DEU,Germany,2020-03-01,111,54,0,0,1.325,0.645,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,106.11,123.28,95.72,1
49,DEU,Germany,2020-03-02,129,18,0,0,1.54,0.215,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,101.52,118.97,102.74,2
50,DEU,Germany,2020-03-03,157,28,0,0,1.874,0.33399999999999996,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,104.1,116.1,103.29,3
51,DEU,Germany,2020-03-04,196,39,0,0,2.339,0.465,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,102.87,114.82,101.89,4
52,DEU,Germany,2020-03-05,262,66,0,0,3.127,0.7879999999999999,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,105.34,117.3,102.6,5
53,DEU,Germany,2020-03-06,400,138,0,0,4.774,1.6469999999999998,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,115.68,127.44,116.04,6
54,DEU,Germany,2020-03-07,684,284,0,0,8.164,3.39,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,112.85,134.51,140.22,7
55,DEU,Germany,2020-03-08,847,163,0,0,10.109,1.945,0.0,0.0,124716.0,,1.489,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,105.05,115.27,93.98,8
56,DEU,Germany,2020-03-09,902,55,0,0,10.765999999999998,0.6559999999999999,0.0,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,99.11,110.61,96.92,9
57,DEU,Germany,2020-03-10,1139,237,2,2,13.594000000000001,2.8289999999999997,0.024,0.024,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,100.16,106.74,90.68,10
58,DEU,Germany,2020-03-11,1296,157,2,0,15.468,1.874,0.024,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,97.05,101.51,96.4,11
59,DEU,Germany,2020-03-12,1567,271,3,1,18.703,3.235,0.036000000000000004,0.012,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,87.94,91.75,89.79,12
60,DEU,Germany,2020-03-13,2369,802,5,2,28.275,9.572000000000001,0.06,0.024,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,86.47,82.21,88.28,13
61,DEU,Germany,2020-03-14,3062,693,5,0,36.546,8.271,0.06,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,78.32,77.72,95.38,14
62,DEU,Germany,2020-03-15,3795,733,8,3,45.295,8.749,0.095,0.036000000000000004,252173.0,,3.01,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,72.26,63.99,75.8,15
63,DEU,Germany,2020-03-16,4838,1043,12,4,57.744,12.449000000000002,0.14300000000000002,0.048,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,68.97,57.93,71.25,16
64,DEU,Germany,2020-03-17,6012,1174,13,1,71.756,14.012,0.155,0.012,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,63.71,50.68,61.98,17
65,DEU,Germany,2020-03-18,7156,1144,13,0,85.41,13.654000000000002,0.155,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,59.52,46.15,57.99,18
66,DEU,Germany,2020-03-19,8198,1042,13,0,97.84700000000001,12.437000000000001,0.155,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,54.87,39.17,51.98,19
67,DEU,Germany,2020-03-20,14138,5940,43,30,168.74400000000003,70.89699999999999,0.513,0.358,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,50.87,33.88,45.37,20
68,DEU,Germany,2020-03-21,18187,4049,45,2,217.07,48.327,0.537,0.024,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,37.9,29.1,36.4,21
69,DEU,Germany,2020-03-22,21463,3276,67,22,256.171,39.101,0.8,0.263,600792.0,,7.171,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,39.75,30.14,42.76,22
70,DEU,Germany,2020-03-23,24774,3311,94,27,295.689,39.518,1.122,0.322,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,45.1,31.37,42.11,23
71,DEU,Germany,2020-03-24,29212,4438,126,32,348.659,52.97,1.504,0.382,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,45.53,31,43.85,24
72,DEU,Germany,2020-03-25,31554,2342,149,23,376.61199999999997,27.953000000000003,1.778,0.275,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,46.48,31.36,43.83,25
73,DEU,Germany,2020-03-26,36508,4954,198,49,435.74,59.128,2.363,0.585,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,48.12,31.4,45.78,26
74,DEU,Germany,2020-03-27,42288,5780,253,55,504.727,68.987,3.02,0.6559999999999999,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,49.58,31.8,52.26,27
75,DEU,Germany,2020-03-28,48582,6294,325,72,579.849,75.122,3.8789999999999996,0.8590000000000001,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,45.98,31.88,58.85,28
76,DEU,Germany,2020-03-29,52547,3965,389,64,627.173,47.324,4.643,0.764,962307.0,,11.485999999999999,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,42.18,29.48,33.95,29
77,DEU,Germany,2020-03-30,57298,4751,455,66,683.878,56.705,5.431,0.7879999999999999,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,50,32.39,42.5,30
78,DEU,Germany,2020-03-31,61913,4615,583,128,738.96,55.082,6.957999999999999,1.528,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,52.68,35.14,47.88,31
79,DEU,Germany,2020-04-01,67366,5453,732,149,804.044,65.084,8.737,1.778,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,53.29,33.52,50.5,32
80,DEU,Germany,2020-04-02,73522,6156,872,140,877.5189999999999,73.475,10.408,1.671,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,53.15,33.82,50.82,33
81,DEU,Germany,2020-04-03,79696,6174,1017,145,951.2080000000001,73.69,12.138,1.7309999999999999,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,51.46,32.02,48.24,34
82,DEU,Germany,2020-04-04,85778,6082,1158,141,1023.8,72.59100000000001,13.821,1.683,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,47.44,33.02,59.17,35
83,DEU,Germany,2020-04-05,91714,5936,1342,184,1094.649,70.84899999999999,16.017,2.1959999999999997,1370655.0,,16.359,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,55.02,39.16,75.42,36
84,DEU,Germany,2020-04-06,95391,3677,1434,92,1138.536,43.887,17.115,1.0979999999999999,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,58.99,40.67,66.13,37
85,DEU,Germany,2020-04-07,99225,3834,1607,173,1184.296,45.761,19.18,2.065,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,60.26,40.58,66.37,38
86,DEU,Germany,2020-04-08,103228,4003,1861,254,1232.0739999999998,47.778,22.212,3.032,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,61.92,39.96,67.94,39
87,DEU,Germany,2020-04-09,108202,4974,2107,246,1291.441,59.367,25.148000000000003,2.9360000000000004,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,58.89,38.54,65.26,40
88,DEU,Germany,2020-04-10,113525,5323,2373,266,1354.973,63.532,28.323,3.175,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,51.44,40.24,73.42,41
89,DEU,Germany,2020-04-11,117658,4133,2544,171,1404.3020000000001,49.32899999999999,30.364,2.041,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,51.05,36.2,67.61,42
90,DEU,Germany,2020-04-12,120479,2821,2673,129,1437.9720000000002,33.67,31.903000000000002,1.54,1749888.0,,20.886,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,46.1,37.88,67.93,43
91,DEU,Germany,2020-04-13,123016,2537,2799,126,1468.253,30.28,33.407,1.504,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,53.67,38.77,54.13,44
92,DEU,Germany,2020-04-14,125098,2082,2969,170,1493.102,24.85,35.436,2.029,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,61.19,41.62,55.07,45
93,DEU,Germany,2020-04-15,127584,2486,3254,285,1522.774,29.671999999999997,38.838,3.4019999999999997,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,63.04,43.22,63.21,46
94,DEU,Germany,2020-04-16,130450,2866,3569,315,1556.981,34.207,42.598,3.76,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,65.48,44.83,69.23,47
95,DEU,Germany,2020-04-17,133830,3380,3868,299,1597.3229999999999,40.342,46.166000000000004,3.569,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,64.69,43.47,69.5,48
96,DEU,Germany,2020-04-18,137439,3609,4110,242,1640.398,43.075,49.055,2.888,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,57.58,42.91,69.57,49
97,DEU,Germany,2020-04-19,139897,2458,4294,184,1669.735,29.337,51.251000000000005,2.1959999999999997,2079915.0,,24.825,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,63.82,46.65,75.93,50
98,DEU,Germany,2020-04-20,141672,1775,4404,110,1690.921,21.185,52.56399999999999,1.3130000000000002,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,66.95,47.02,66.52,51
99,DEU,Germany,2020-04-21,143457,1785,4598,194,1712.225,21.305,54.879,2.315,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,68.02,44.89,66.47,52
100,DEU,Germany,2020-04-22,145694,2237,4879,281,1738.925,26.7,58.233000000000004,3.3539999999999996,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,69.71,46.87,68.86,53
101,DEU,Germany,2020-04-23,148046,2352,5094,215,1766.997,28.072,60.799,2.5660000000000003,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,70.28,47.32,72.15,54
102,DEU,Germany,2020-04-24,150383,2337,5321,227,1794.89,27.893,63.50899999999999,2.7089999999999996,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,67.88,44.47,68.32,55
103,DEU,Germany,2020-04-25,152438,2055,5500,179,1819.418,24.526999999999997,65.645,2.136,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,62.8,44.16,72.98,56
104,DEU,Germany,2020-04-26,154175,1737,5640,140,1840.15,20.732,67.316,1.671,2437791.0,,29.096,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,68.59,49.81,81.52,57
105,DEU,Germany,2020-04-27,155193,1018,5750,110,1852.3,12.15,68.62899999999999,1.3130000000000002,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,70.08,48.72,70.04,58
106,DEU,Germany,2020-04-28,156337,1144,5913,163,1865.954,13.654000000000002,70.574,1.945,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,69.04,46.4,59.81,59
107,DEU,Germany,2020-04-29,157641,1304,6115,202,1881.5179999999998,15.564,72.985,2.411,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,70.61,45.55,59.04,60
108,DEU,Germany,2020-04-30,159119,1478,6288,173,1899.1589999999999,17.641,75.05,2.065,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,70.3,45.07,60.08,61
109,DEU,Germany,2020-05-01,159119,0,6288,0,1899.1589999999999,0.0,75.05,0.0,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,62.46,45.75,59.29,62
110,DEU,Germany,2020-05-02,161703,2584,6575,287,1930.0,30.840999999999998,78.476,3.425,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,65.91,44.9,59.26,63
111,DEU,Germany,2020-05-03,162496,793,6649,74,1939.465,9.465,79.359,0.883,2755770.0,,32.891,,tests performed,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,73.49,53.31,75.48,64
112,DEU,Germany,2020-05-04,163175,679,6692,43,1947.569,8.104,79.872,0.513,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,75.92,54.35,67.46,65
113,DEU,Germany,2020-05-05,163860,685,6831,139,1955.745,8.176,81.531,1.659,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,77.39,54.6,71.69,66
114,DEU,Germany,2020-05-06,164897,1037,6996,165,1968.122,12.377,83.5,1.969,,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,79.3,55.35,76.51,67
