,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
54,NOR,Norway,2020-03-07,113,27,0,0,20.844,4.98,0.0,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,111.53,111.71,133.68,1
55,NOR,Norway,2020-03-08,147,34,0,0,27.116,6.272,0.0,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,118.28,100.39,80.99,2
56,NOR,Norway,2020-03-09,169,22,0,0,31.174,4.058,0.0,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,96.35,93.39,93.36,3
57,NOR,Norway,2020-03-10,192,23,0,0,35.416,4.243,0.0,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,93.88,88.36,89.19,4
58,NOR,Norway,2020-03-11,277,85,0,0,51.095,15.679,0.0,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,86.81,78.62,89.43,5
59,NOR,Norway,2020-03-12,489,212,0,0,90.20100000000001,39.105,0.0,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,80.56,56.74,70.85,6
60,NOR,Norway,2020-03-13,621,132,1,1,114.54899999999999,24.349,0.184,0.184,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,73.72,44.42,61.01,7
61,NOR,Norway,2020-03-14,621,0,1,0,114.54899999999999,0.0,0.184,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,59.14,39.74,53.76,8
62,NOR,Norway,2020-03-15,907,286,1,0,167.305,52.755,0.184,0.0,,,,,,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,51.2,32.91,36.73,9
63,NOR,Norway,2020-03-16,1077,170,1,0,198.66299999999998,31.358,0.184,0.0,18062.0,,3.332,,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,56.73,30.71,50.86,10
64,NOR,Norway,2020-03-17,1169,92,3,2,215.63299999999998,16.97,0.5529999999999999,0.369,21647.0,3585.0,3.9930000000000003,0.6609999999999999,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,54.58,31.19,51.59,11
65,NOR,Norway,2020-03-18,1308,139,3,0,241.273,25.64,0.5529999999999999,0.0,28522.0,6875.0,5.261,1.268,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,54.07,29.63,53.44,12
66,NOR,Norway,2020-03-19,1423,115,3,0,262.486,21.213,0.5529999999999999,0.0,34583.0,6061.0,6.379,1.1179999999999999,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,55.82,28.04,55.24,13
67,NOR,Norway,2020-03-20,1552,129,6,3,286.281,23.795,1.107,0.5529999999999999,43735.0,9152.0,8.067,1.6880000000000002,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,58.87,30.97,58.9,14
68,NOR,Norway,2020-03-21,1742,190,7,1,321.329,35.047,1.291,0.184,49451.0,5716.0,9.122,1.054,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,55.9,30.54,62.58,15
69,NOR,Norway,2020-03-22,1926,184,7,0,355.269,33.941,1.291,0.0,54393.0,4942.0,10.033,0.912,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,53.79,32.88,51.25,16
70,NOR,Norway,2020-03-23,2132,206,7,0,393.26800000000003,37.999,1.291,0.0,61251.0,6858.0,11.298,1.265,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,59.29,31.74,50.51,17
71,NOR,Norway,2020-03-24,2371,239,8,1,437.35400000000004,44.086000000000006,1.476,0.184,70608.0,9357.0,13.024000000000001,1.726,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,57.57,30.74,49.21,18
72,NOR,Norway,2020-03-25,2566,195,10,2,473.32300000000004,35.97,1.845,0.369,73089.0,2481.0,13.482000000000001,0.45799999999999996,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,59.26,30.96,52.63,19
73,NOR,Norway,2020-03-26,2916,350,12,2,537.884,64.561,2.214,0.369,73892.0,803.0,13.63,0.14800000000000002,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,62.82,31.17,56.75,20
74,NOR,Norway,2020-03-27,3156,240,14,2,582.154,44.27,2.582,0.369,78036.0,4144.0,14.394,0.764,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,64.12,32.13,57.49,21
75,NOR,Norway,2020-03-28,3581,425,16,2,660.55,78.395,2.951,0.369,82584.0,4548.0,15.232999999999999,0.8390000000000001,people tested,5421242,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,61.53,31.12,60.4,22
