days,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
days,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,driving,transit,walking
1,103,10,1,0,2.729,0.265,0.026,0,100.22,83.35,106.32,113,75,0,0,19.509,12.948,0,0,100.99,91.14,93.53,111,54,0,0,1.325,0.645,0,0,106.11,123.28,95.72,105,12,1,0,0.83,0.095,0.008,0,142.83,130.41,145.52,128,46,1,1,7.47,2.685,0.058,0.058,105.36,119.53,167.19,113,27,0,0,20.844,4.98,0,0,111.53,111.71,133.68,209,122,1,0,24.149,14.097,0.116,0,108.9,95.23,123.3
2,138,35,1,0,3.656,0.927,0.026,0,101.24,76.4,104.32,264,151,0,0,45.579,26.07,0,0,90.37,77.56,91.86,129,18,0,0,1.54,0.215,0,0,101.52,118.97,102.74,132,27,1,0,1.044,0.213,0.008,0,116.21,112.61,121.18,188,60,1,0,10.972,3.502,0.058,0,91.72,101.4,103.37,147,34,0,0,27.116,6.272,0,0,118.28,100.39,80.99,264,55,1,0,30.504,6.355,0.116,0,106.95,87.16,87.32
3,176,38,1,0,4.663,1.007,0.026,0,87.16,63.75,103,516,252,0,0,89.085,43.507,0,0,67.62,48.7,54.89,157,28,0,0,1.874,0.334,0,0,104.1,116.1,103.29,144,12,1,0,1.139,0.095,0.008,0,107.01,104.56,112.83,265,77,3,2,15.466,4.494,0.175,0.117,97.44,98.01,97.6,169,22,0,0,31.174,4.058,0,0,96.35,93.39,93.36,332,68,2,1,38.361,7.857,0.231,0.116,95.1,90.4,90.24
4,244,68,1,0,6.465,1.802,0.026,0,68.17,51.19,73.82,676,160,0,0,116.709,27.623,0,0,66.97,45.07,62.04,196,39,0,0,2.339,0.465,0,0,102.87,114.82,101.89,144,0,1,0,1.139,0,0.008,0,107.46,102.38,111.53,321,56,3,0,18.734,3.268,0.175,0,94.05,94.36,92.04,192,23,0,0,35.416,4.243,0,0,93.88,88.36,89.19,374,42,2,0,43.214,4.853,0.231,0,95.25,88.38,89.77
5,304,60,1,0,8.055,1.59,0.026,0,74.1,50,75.7,804,128,0,0,138.807,22.099,0,0,62.05,39.65,66.91,262,66,0,0,3.127,0.788,0,0,105.34,117.3,102.6,164,20,1,0,1.297,0.158,0.008,0,103.29,97.64,104.84,382,61,4,1,22.294,3.56,0.233,0.058,92.55,90.51,99.58,277,85,0,0,51.095,15.679,0,0,86.81,78.62,89.43,490,116,3,1,56.617,13.403,0.347,0.116,97.44,84.67,101
6,424,120,4,3,11.234,3.179,0.106,0.079,67.21,40.26,65.68,827,23,0,0,142.778,3.971,0,0,56.49,33.91,46.67,400,138,0,0,4.774,1.647,0,0,115.68,127.44,116.04,186,22,3,2,1.471,0.174,0.024,0.016,112.22,102.82,112.22,503,121,5,1,29.355,7.062,0.292,0.058,79.19,77.33,90.87,489,212,0,0,90.201,39.105,0,0,80.56,56.74,70.85,642,152,4,1,74.18,17.563,0.462,0.116,86.01,73.36,90
7,569,145,8,4,15.076,3.842,0.212,0.106,63.91,35.59,62.44,875,48,1,1,151.065,8.287,0.173,0.173,62.62,32.69,55.9,684,284,0,0,8.164,3.39,0,0,112.85,134.51,140.22,210,24,3,0,1.66,0.19,0.024,0,114.58,104.61,116.77,614,111,5,0,35.833,6.478,0.292,0,72.71,69.44,92.53,621,132,1,1,114.549,24.349,0.184,0.184,73.72,44.42,61.01,854,212,4,0,98.676,24.496,0.462,0,84.32,63.2,88.42
8,690,121,9,1,18.282,3.206,0.238,0.026,62.16,31.53,60.16,932,57,1,0,160.906,9.841,0.173,0,58.82,28.17,49.84,847,163,0,0,10.109,1.945,0,0,105.05,115.27,93.98,230,20,3,0,1.819,0.158,0.024,0,103.92,98.18,101.49,804,190,5,0,46.922,11.088,0.292,0,64.97,61.84,99.74,621,0,1,0,114.549,0,0.184,0,59.14,39.74,53.76,1121,267,7,3,129.526,30.851,0.809,0.347,74.03,56.69,79.34
9,846,156,10,1,22.415,4.133,0.265,0.026,63.93,30.3,59.11,1024,92,4,3,176.789,15.883,0.691,0.518,55.46,25.76,45.91,902,55,0,0,10.766,0.656,0,0,99.11,110.61,96.92,239,9,5,2,1.89,0.071,0.04,0.016,105.91,100.79,113.27,959,155,12,7,55.968,9.046,0.7,0.409,48.64,43.19,58.43,907,286,1,0,167.305,52.755,0.184,0,51.2,32.91,36.73,1359,238,11,4,157.026,27.5,1.271,0.462,70.65,47.61,70.87
