,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
54,BEL,Belgium,2020-03-07,109,59,0,0,9.405,5.091,0.0,0.0,3601.0,407.0,0.311,0.035,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,129.93,134.85,209.67,1
55,BEL,Belgium,2020-03-08,169,60,0,0,14.582,5.1770000000000005,0.0,0.0,4018.0,417.0,0.34700000000000003,0.036000000000000004,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,107.09,114.29,115.49,2
56,BEL,Belgium,2020-03-09,200,31,0,0,17.257,2.675,0.0,0.0,4537.0,519.0,0.391,0.045,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,108.15,118.1,118.11,3
57,BEL,Belgium,2020-03-10,239,39,0,0,20.622,3.365,0.0,0.0,5232.0,695.0,0.451,0.06,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,105.81,112.37,116.42,4
58,BEL,Belgium,2020-03-11,267,28,0,0,23.038,2.416,0.0,0.0,6167.0,935.0,0.532,0.081,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,105.97,115.74,119.12,5
59,BEL,Belgium,2020-03-12,314,47,3,3,27.093000000000004,4.055,0.259,0.259,7476.0,1309.0,0.645,0.113,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,87.63,91.05,108.4,6
60,BEL,Belgium,2020-03-13,399,85,3,0,34.427,7.334,0.259,0.0,9652.0,2176.0,0.833,0.188,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.16,71.94,91.05,7
61,BEL,Belgium,2020-03-14,559,160,3,0,48.233000000000004,13.805,0.259,0.0,11455.0,1803.0,0.988,0.156,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,63.44,52.67,68.37,8
62,BEL,Belgium,2020-03-15,689,130,4,1,59.45,11.217,0.345,0.086,12524.0,1069.0,1.081,0.092,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,56.86,46.28,59.68,9
63,BEL,Belgium,2020-03-16,886,197,4,0,76.44800000000001,16.998,0.345,0.0,14030.0,1506.0,1.2109999999999999,0.13,units unclear,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,60.42,44.63,55.93,10
