,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
62,BRA,Brazil,2020-03-15,121,23,0,0,0.569,0.10800000000000001,0.0,0.0,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,71.69,54.78,58.05,1
63,BRA,Brazil,2020-03-16,200,79,0,0,0.941,0.37200000000000005,0.0,0.0,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,70.59,71.52,76.8,2
64,BRA,Brazil,2020-03-17,234,34,0,0,1.101,0.16,0.0,0.0,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,64.88,57.15,65.54,3
65,BRA,Brazil,2020-03-18,291,57,1,1,1.369,0.268,0.005,0.005,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,58.47,45.94,54.89,4
66,BRA,Brazil,2020-03-19,428,137,4,3,2.0140000000000002,0.645,0.019,0.013999999999999999,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,52.15,36.65,45.14,5
67,BRA,Brazil,2020-03-20,621,193,6,2,2.9219999999999997,0.9079999999999999,0.027999999999999997,0.009000000000000001,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,51.7,29.95,40.48,6
68,BRA,Brazil,2020-03-21,904,283,11,5,4.253,1.331,0.052000000000000005,0.024,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,39.66,19.51,29.89,7
69,BRA,Brazil,2020-03-22,1128,224,18,7,5.307,1.054,0.085,0.033,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,27.58,17.04,20.98,8
70,BRA,Brazil,2020-03-23,1546,418,25,7,7.273,1.9669999999999999,0.11800000000000001,0.033,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,34.89,20.74,27.37,9
71,BRA,Brazil,2020-03-24,1891,345,34,9,8.896,1.6230000000000002,0.16,0.042,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,34.84,18.78,27.11,10
72,BRA,Brazil,2020-03-25,2201,310,46,12,10.355,1.4580000000000002,0.21600000000000003,0.055999999999999994,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,35.26,19.11,27.96,11
73,BRA,Brazil,2020-03-26,2433,232,57,11,11.446,1.091,0.268,0.052000000000000005,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,37.57,20.33,28.91,12
74,BRA,Brazil,2020-03-27,2915,482,77,20,13.714,2.2680000000000002,0.36200000000000004,0.094,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,42.94,21.26,32.21,13
75,BRA,Brazil,2020-03-28,3417,502,92,15,16.076,2.362,0.433,0.071,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,41.63,18.17,31.1,14
