,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
60,CZE,Czech Republic,2020-03-13,116,22,0,0,10.832,2.0540000000000003,0.0,0.0,3094.0,741.0,0.289,0.069,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,84.13,55.28,69.24,1
61,CZE,Czech Republic,2020-03-14,150,34,0,0,14.007,3.175,0.0,0.0,4065.0,971.0,0.38,0.091,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,62.63,36.99,47.48,2
62,CZE,Czech Republic,2020-03-15,214,64,0,0,19.983,5.976,0.0,0.0,5068.0,1003.0,0.473,0.094,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,63.56,30.44,38.08,3
63,CZE,Czech Republic,2020-03-16,298,84,0,0,27.826999999999998,7.843999999999999,0.0,0.0,6302.0,1234.0,0.588,0.115,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,48.85,20.11,25.5,4
64,CZE,Czech Republic,2020-03-17,344,46,0,0,32.123000000000005,4.295,0.0,0.0,7664.0,1362.0,0.716,0.127,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,46.98,17.32,24.76,5
65,CZE,Czech Republic,2020-03-18,434,90,0,0,40.527,8.404,0.0,0.0,9402.0,1738.0,0.878,0.162,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,48.38,15.85,27.42,6
66,CZE,Czech Republic,2020-03-19,522,88,0,0,48.744,8.217,0.0,0.0,11619.0,2217.0,1.085,0.207,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,47.62,17.13,26.05,7
67,CZE,Czech Republic,2020-03-20,694,172,0,0,64.805,16.061,0.0,0.0,13704.0,2085.0,1.28,0.195,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,45.95,16.06,24.97,8
68,CZE,Czech Republic,2020-03-21,904,210,0,0,84.415,19.61,0.0,0.0,15584.0,1880.0,1.455,0.17600000000000002,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,32.7,14.69,16.13,9
69,CZE,Czech Republic,2020-03-22,995,91,0,0,92.913,8.498,0.0,0.0,17377.0,1793.0,1.6230000000000002,0.16699999999999998,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,37.56,15.1,17.5,10
70,CZE,Czech Republic,2020-03-23,1165,170,1,1,108.787,15.875,0.09300000000000001,0.09300000000000001,19624.0,2247.0,1.8319999999999999,0.21,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,45.6,15.86,22.13,11
71,CZE,Czech Republic,2020-03-24,1236,71,1,0,115.417,6.63,0.09300000000000001,0.0,22600.0,2976.0,2.11,0.278,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,48.07,17.38,23.98,12
72,CZE,Czech Republic,2020-03-25,1394,158,3,2,130.171,14.754000000000001,0.28,0.187,26698.0,4098.0,2.4930000000000003,0.38299999999999995,tests performed,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,49.53,17.9,23.88,13
