,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
49,FRA,France,2020-03-02,130,30,2,0,1.992,0.46,0.031,0.0,2887.0,436.0,0.044000000000000004,0.006999999999999999,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,90.07,104.69,73.5,1
50,FRA,France,2020-03-03,178,48,3,1,2.727,0.735,0.046,0.015,3594.0,707.0,0.055,0.011000000000000001,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,92.79,106.87,83.57,2
51,FRA,France,2020-03-04,212,34,4,1,3.248,0.521,0.061,0.015,4803.0,1209.0,0.07400000000000001,0.019,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,95.13,109.26,82.79,3
52,FRA,France,2020-03-05,285,73,4,0,4.3660000000000005,1.1179999999999999,0.061,0.0,6046.0,1243.0,0.09300000000000001,0.019,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,95.6,111.99,83.03,4
53,FRA,France,2020-03-06,423,138,7,3,6.48,2.114,0.107,0.046,7695.0,1649.0,0.11800000000000001,0.025,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,104.21,121.29,98.34,5
54,FRA,France,2020-03-07,613,190,9,2,9.391,2.911,0.138,0.031,9495.0,1800.0,0.145,0.027999999999999997,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,107.37,124.75,112.37,6
55,FRA,France,2020-03-08,716,103,10,1,10.969000000000001,1.578,0.153,0.015,11071.0,1576.0,0.17,0.024,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,83.78,95.36,61.73,7
56,FRA,France,2020-03-09,1126,410,19,9,17.25,6.281000000000001,0.29100000000000004,0.138,12667.0,1596.0,0.19399999999999998,0.024,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,86.66,97.3,72.76,8
57,FRA,France,2020-03-10,1412,286,30,11,21.631999999999998,4.382,0.46,0.16899999999999998,15018.0,2351.0,0.23,0.036000000000000004,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,88.19,98.7,77.48,9
58,FRA,France,2020-03-11,1784,372,33,3,27.331,5.699,0.506,0.046,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,90.42,104.31,84.66,10
59,FRA,France,2020-03-12,2281,497,48,15,34.945,7.614,0.735,0.23,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.45,92.11,79.25,11
60,FRA,France,2020-03-13,2876,595,61,13,44.06100000000001,9.115,0.935,0.19899999999999998,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,83.06,85.57,79.32,12
61,FRA,France,2020-03-14,3661,785,79,18,56.086999999999996,12.026,1.21,0.276,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,77.54,74.08,75.85,13
62,FRA,France,2020-03-15,4499,838,91,12,68.925,12.838,1.3940000000000001,0.184,36747.0,,0.563,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,52.76,42.55,39.6,14
63,FRA,France,2020-03-16,5423,924,127,36,83.081,14.155999999999999,1.946,0.552,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,56.5,32.84,31.2,15
64,FRA,France,2020-03-17,6633,1210,148,21,101.619,18.537,2.267,0.322,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,31.7,16.57,18.24,16
65,FRA,France,2020-03-18,7730,1097,175,27,118.425,16.805999999999997,2.681,0.414,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,23.05,13.58,17.24,17
66,FRA,France,2020-03-19,9134,1404,244,69,139.934,21.509,3.738,1.057,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.4,12.71,18.13,18
67,FRA,France,2020-03-20,10995,1861,372,128,168.445,28.511,5.699,1.9609999999999999,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,21.2,12.29,15.84,19
68,FRA,France,2020-03-21,12612,1617,450,78,193.218,24.773000000000003,6.894,1.195,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,16.23,10.75,12.37,20
69,FRA,France,2020-03-22,14459,1847,562,112,221.514,28.296,8.61,1.716,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,15.33,10.31,10.7,21
70,FRA,France,2020-03-23,16018,1559,674,112,245.398,23.884,10.325999999999999,1.716,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.36,12.06,17.67,22
71,FRA,France,2020-03-24,19856,3838,860,186,304.197,58.799,13.175,2.85,107546.0,,1.6480000000000001,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.54,12.06,17.57,23
72,FRA,France,2020-03-25,22302,2446,1100,240,341.67,37.473,16.852,3.677,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.2,11.75,16.13,24
73,FRA,France,2020-03-26,25233,2931,1331,231,386.57300000000004,44.903,20.391,3.5389999999999997,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.05,11.58,15.08,25
74,FRA,France,2020-03-27,29155,3922,1696,365,446.659,60.086000000000006,25.983,5.5920000000000005,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,21.83,11.23,14.87,26
75,FRA,France,2020-03-28,32964,3809,1995,299,505.01300000000003,58.354,30.564,4.581,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,18.44,11.07,14.26,27
76,FRA,France,2020-03-29,37575,4611,2314,319,575.655,70.641,35.451,4.887,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,17.2,10.66,10.44,28
77,FRA,France,2020-03-30,40174,2599,2606,292,615.472,39.817,39.924,4.473,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.89,11.96,12.95,29
78,FRA,France,2020-03-31,44550,4376,3024,418,682.513,67.041,46.328,6.404,224254.0,,3.4360000000000004,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,23.74,12.04,14.09,30
79,FRA,France,2020-04-01,52128,7578,3523,499,798.6089999999999,116.096,53.973,7.645,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,23.86,11.92,14.68,31
80,FRA,France,2020-04-02,56989,4861,4032,509,873.08,74.471,61.771,7.797999999999999,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,24.15,11.87,14.64,32
81,FRA,France,2020-04-03,59105,2116,4503,471,905.497,32.417,68.987,7.216,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,23.5,11.56,15.13,33
82,FRA,France,2020-04-04,64338,5233,6507,2004,985.668,80.17,99.68799999999999,30.701999999999998,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,19.72,10.7,14.93,34
83,FRA,France,2020-04-05,68605,4267,7560,1053,1051.039,65.37100000000001,115.82,16.132,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,19.61,11.25,14.45,35
84,FRA,France,2020-04-06,70478,1873,8078,518,1079.734,28.695,123.756,7.936,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,25.69,12.6,14.9,36
85,FRA,France,2020-04-07,74390,3912,8911,833,1139.6660000000002,59.931999999999995,136.518,12.762,333807.0,,5.114,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,26.27,12.49,16.18,37
86,FRA,France,2020-04-08,78167,3777,10328,1417,1197.53,57.864,158.227,21.709,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,26.46,12.2,16.23,38
87,FRA,France,2020-04-09,82048,3881,10869,541,1256.988,59.458,166.515,8.288,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,26.9,12.1,16.66,39
88,FRA,France,2020-04-10,86334,4286,12210,1341,1322.65,65.66199999999999,187.05900000000003,20.544,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,26.58,12.25,17.09,40
89,FRA,France,2020-04-11,90676,4342,13197,987,1389.17,66.52,202.18,15.120999999999999,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,21.66,11.43,15.5,41
90,FRA,France,2020-04-12,93790,3114,13832,635,1436.8770000000002,47.707,211.908,9.728,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,17.91,10.56,12.49,42
91,FRA,France,2020-04-13,95403,1613,14393,561,1461.588,24.711,220.503,8.595,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,21.83,12.25,13.84,43
92,FRA,France,2020-04-14,98076,2673,14967,574,1502.539,40.951,229.297,8.794,463662.0,,7.103,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,30.2,13.68,17.36,44
93,FRA,France,2020-04-15,103573,5497,15729,762,1586.754,84.215,240.97099999999998,11.674000000000001,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,30.76,13.56,18.07,45
94,FRA,France,2020-04-16,106206,2633,17167,1438,1627.092,40.338,263.001,22.03,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,31.09,13.78,18.22,46
95,FRA,France,2020-04-17,108847,2641,17920,753,1667.5520000000001,40.461,274.53700000000003,11.536,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,30.44,13.92,18.3,47
96,FRA,France,2020-04-18,109252,405,18681,761,1673.757,6.205,286.19599999999997,11.659,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,24.49,12.55,15.95,48
97,FRA,France,2020-04-19,111821,2569,19323,642,1713.115,39.357,296.031,9.836,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,23.65,12.96,13.91,49
98,FRA,France,2020-04-20,112606,785,19718,395,1725.141,12.026,302.08299999999997,6.051,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,32.28,14.91,17.37,50
99,FRA,France,2020-04-21,114657,2051,20265,547,1756.5620000000001,31.421999999999997,310.46299999999997,8.38,595154.0,,9.118,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,33.3,15.76,18.56,51
100,FRA,France,2020-04-22,117324,2667,20796,531,1797.421,40.859,318.598,8.135,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,33.86,15.49,19.22,52
101,FRA,France,2020-04-23,119151,1827,21340,544,1825.411,27.99,326.932,8.334,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,34.29,15.34,19.68,53
102,FRA,France,2020-04-24,120804,1653,21856,516,1850.735,25.324,334.837,7.905,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,32.44,14.68,18.93,54
103,FRA,France,2020-04-25,122577,1773,22245,389,1877.898,27.163,340.79699999999997,5.96,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,26.22,13.58,17.08,55
104,FRA,France,2020-04-26,124114,1537,22614,369,1901.445,23.546999999999997,346.45,5.653,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,26.32,14.11,16.18,56
105,FRA,France,2020-04-27,124575,461,22856,242,1908.5079999999998,7.063,350.157,3.707,,,,,,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,34.69,16.11,17.7,57
106,FRA,France,2020-04-28,125770,1195,23293,437,1926.815,18.308,356.852,6.695,724574.0,,11.100999999999999,,tests performed,65273512,122.57799999999999,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,45.68,18.43,19.22,58
