,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,walking,transit,days
63,IND,India,2020-03-17,125,32,3,1,0.091,0.023,0.002,0.001,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,81.34,81.66,0,1
64,IND,India,2020-03-18,137,12,3,0,0.099,0.009000000000000001,0.002,0.0,13125.0,,0.01,,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,78.24,78.34,0,2
65,IND,India,2020-03-19,165,28,3,0,0.12,0.02,0.002,0.0,13316.0,191.0,0.01,0.0,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.53,67.58,0,3
66,IND,India,2020-03-20,191,26,4,1,0.138,0.019,0.003,0.001,14376.0,1060.0,0.01,0.001,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,63.43,57.93,0,4
67,IND,India,2020-03-21,231,40,4,0,0.16699999999999998,0.028999999999999998,0.003,0.0,15701.0,1325.0,0.011000000000000001,0.001,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,45.24,41.11,0,5
68,IND,India,2020-03-22,320,89,4,0,0.23199999999999998,0.064,0.003,0.0,16999.0,1298.0,0.012,0.001,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,32.67,32.88,0,6
69,IND,India,2020-03-23,439,119,7,3,0.318,0.086,0.005,0.002,20707.0,3708.0,0.015,0.003,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,40.44,35.93,0,7
70,IND,India,2020-03-24,492,53,9,2,0.35700000000000004,0.038,0.006999999999999999,0.001,20864.0,157.0,0.015,0.0,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,25.3,29.32,0,8
71,IND,India,2020-03-25,562,70,9,0,0.40700000000000003,0.051,0.006999999999999999,0.0,25144.0,4280.0,0.018000000000000002,0.003,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,21.93,30.33,0,9
72,IND,India,2020-03-26,649,87,13,4,0.47,0.063,0.009000000000000001,0.003,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,21.22,32.03,0,10
73,IND,India,2020-03-27,724,75,17,4,0.525,0.054000000000000006,0.012,0.003,27688.0,,0.02,,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,21.93,34.4,0,11
74,IND,India,2020-03-28,873,149,19,2,0.633,0.10800000000000001,0.013999999999999999,0.001,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,21.92,32.85,0,12
75,IND,India,2020-03-29,979,106,25,6,0.7090000000000001,0.077,0.018000000000000002,0.004,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,21.19,29.93,0,13
76,IND,India,2020-03-30,1071,92,29,4,0.7759999999999999,0.067,0.021,0.003,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,19.22,27.18,0,14
77,IND,India,2020-03-31,1251,180,32,3,0.907,0.13,0.023,0.002,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,17.86,25.45,0,15
78,IND,India,2020-04-01,1397,146,35,3,1.012,0.106,0.025,0.002,,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,17.67,24.93,0,16
79,IND,India,2020-04-02,1965,568,50,15,1.4240000000000002,0.41200000000000003,0.036000000000000004,0.011000000000000001,47951.0,,0.035,,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,16.99,24.43,0,17
80,IND,India,2020-04-03,2301,336,56,6,1.6669999999999998,0.243,0.040999999999999995,0.004,69245.0,21294.0,0.05,0.015,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,16.72,24.82,0,18
81,IND,India,2020-04-04,2902,601,68,12,2.103,0.436,0.049,0.009000000000000001,79950.0,10705.0,0.057999999999999996,0.008,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,16.58,22.82,0,19
82,IND,India,2020-04-05,3374,472,77,9,2.445,0.342,0.055999999999999994,0.006999999999999999,89534.0,9584.0,0.065,0.006999999999999999,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,16.3,24.73,0,20
83,IND,India,2020-04-06,4067,693,109,32,2.947,0.502,0.079,0.023,101068.0,11534.0,0.073,0.008,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,16.69,23.12,0,21
84,IND,India,2020-04-07,4421,354,114,5,3.2039999999999997,0.257,0.083,0.004,114015.0,12947.0,0.083,0.009000000000000001,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,16.78,23.14,0,22
85,IND,India,2020-04-08,5194,773,149,35,3.764,0.56,0.10800000000000001,0.025,127919.0,13904.0,0.09300000000000001,0.01,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,17.34,25.39,0,23
86,IND,India,2020-04-09,5734,540,166,17,4.155,0.391,0.12,0.012,144910.0,16991.0,0.105,0.012,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,17.25,24.81,0,24
87,IND,India,2020-04-10,6412,678,199,33,4.646,0.491,0.14400000000000002,0.024,161330.0,16420.0,0.11699999999999999,0.012,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,17.56,24.58,0,25
88,IND,India,2020-04-11,7447,1035,239,40,5.396,0.75,0.17300000000000001,0.028999999999999998,179374.0,18044.0,0.13,0.013000000000000001,samples tested,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,17.28,25.07,0,26
