,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
42,ITA,Italy,2020-02-24,132,53,2,0,2.1830000000000003,0.877,0.033,0.0,4324.0,,0.07200000000000001,,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,98.2,96.25,107.66,1
43,ITA,Italy,2020-02-25,229,97,6,4,3.7880000000000003,1.604,0.099,0.066,8623.0,4299.0,0.14300000000000002,0.071,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,92.5,81.28,94.26,2
44,ITA,Italy,2020-02-26,322,93,11,5,5.3260000000000005,1.538,0.182,0.083,9587.0,964.0,0.159,0.016,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,89.15,74.29,82.94,3
45,ITA,Italy,2020-02-27,400,78,12,1,6.6160000000000005,1.29,0.198,0.017,12014.0,2427.0,0.19899999999999998,0.04,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,90.16,74.11,83.27,4
46,ITA,Italy,2020-02-28,650,250,17,5,10.751,4.135,0.281,0.083,15695.0,3681.0,0.26,0.061,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,97.78,76.73,92.59,5
47,ITA,Italy,2020-02-29,888,238,21,4,14.687000000000001,3.9360000000000004,0.34700000000000003,0.066,18661.0,2966.0,0.309,0.049,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,100.27,76.34,100.06,6
48,ITA,Italy,2020-03-01,1128,240,29,8,18.656,3.969,0.48,0.132,21127.0,2466.0,0.349,0.040999999999999995,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,83.48,69.12,65.47,7
49,ITA,Italy,2020-03-02,1689,561,35,6,27.935,9.279,0.579,0.099,23345.0,2218.0,0.386,0.037000000000000005,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,81.65,67.14,63.94,8
50,ITA,Italy,2020-03-03,2036,347,52,17,33.674,5.739,0.86,0.281,25856.0,2511.0,0.428,0.042,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,85.76,65.83,70.14,9
51,ITA,Italy,2020-03-04,2502,466,80,28,41.381,7.707000000000001,1.3230000000000002,0.46299999999999997,29837.0,3981.0,0.493,0.066,tests performed,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.15100000000001,4.78,19.8,27.8,,3.18,84.99,61.44,71.71,10
