,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
48,SGP,Singapore,2020-03-01,102,4,0,0,17.435,0.684,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,77.65,67.37,65.92,1
49,SGP,Singapore,2020-03-02,106,4,0,0,18.119,0.684,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,79.17,68.05,65.31,2
50,SGP,Singapore,2020-03-03,108,2,0,0,18.46,0.342,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,79.24,69.37,65.96,3
51,SGP,Singapore,2020-03-04,110,2,0,0,18.802,0.342,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,81.32,69.48,68.43,4
52,SGP,Singapore,2020-03-05,112,2,0,0,19.144000000000002,0.342,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,85.11,73.18,69.33,5
53,SGP,Singapore,2020-03-06,117,5,0,0,19.999000000000002,0.855,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,94.99,81.88,84.43,6
54,SGP,Singapore,2020-03-07,130,13,0,0,22.221,2.222,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,81.06,71.49,75.32,7
55,SGP,Singapore,2020-03-08,138,8,0,0,23.588,1.367,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,77.08,65.74,62.08,8
56,SGP,Singapore,2020-03-09,150,12,0,0,25.64,2.051,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,77.37,66.03,62.11,9
57,SGP,Singapore,2020-03-10,160,10,0,0,27.349,1.709,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,79.71,68.47,64.7,10
58,SGP,Singapore,2020-03-11,166,6,0,0,28.374000000000002,1.026,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,78.92,68.05,63.38,11
59,SGP,Singapore,2020-03-12,178,12,0,0,30.426,2.051,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,79.9,68.33,64.32,12
60,SGP,Singapore,2020-03-13,187,9,0,0,31.964000000000002,1.538,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,90.07,79.59,79.65,13
61,SGP,Singapore,2020-03-14,200,13,0,0,34.186,2.222,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,78.2,68.72,71.84,14
62,SGP,Singapore,2020-03-15,214,14,0,0,36.579,2.3930000000000002,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,75.54,67.93,61.54,15
63,SGP,Singapore,2020-03-16,226,12,0,0,38.63,2.051,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,73.21,65.47,57.76,16
64,SGP,Singapore,2020-03-17,243,17,0,0,41.536,2.906,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,78.27,66.84,61.79,17
65,SGP,Singapore,2020-03-18,266,23,0,0,45.467,3.931,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,76.03,65.88,59.05,18
66,SGP,Singapore,2020-03-19,313,47,0,0,53.501000000000005,8.033999999999999,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,76.03,65.29,60.35,19
67,SGP,Singapore,2020-03-20,345,32,0,0,58.971000000000004,5.47,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,82.4,68.99,70.86,20
68,SGP,Singapore,2020-03-21,385,40,0,0,65.808,6.837000000000001,0.0,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,68.64,57.98,59.69,21
69,SGP,Singapore,2020-03-22,432,47,2,2,73.842,8.033999999999999,0.342,0.342,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,63.64,51.17,47.5,22
70,SGP,Singapore,2020-03-23,455,23,2,0,77.773,3.931,0.342,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,65.53,51.62,45.79,23
71,SGP,Singapore,2020-03-24,509,54,2,0,87.00299999999999,9.23,0.342,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,64.92,50.2,47.03,24
72,SGP,Singapore,2020-03-25,558,49,2,0,95.37899999999999,8.376,0.342,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,65.26,48.44,48.46,25
73,SGP,Singapore,2020-03-26,568,10,2,0,97.088,1.709,0.342,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,66.16,48.45,47.28,26
74,SGP,Singapore,2020-03-27,594,26,2,0,101.53299999999999,4.444,0.342,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,69.19,49.52,54.72,27
75,SGP,Singapore,2020-03-28,732,138,2,0,125.12100000000001,23.588,0.342,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,59,41.9,50,28
76,SGP,Singapore,2020-03-29,803,71,3,1,137.257,12.136,0.513,0.171,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,60.63,43.9,45.79,29
77,SGP,Singapore,2020-03-30,844,41,3,0,144.265,7.007999999999999,0.513,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,62.49,43.79,43.32,30
78,SGP,Singapore,2020-03-31,844,0,3,0,144.265,0.0,0.513,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,63.1,45.57,47.08,31
79,SGP,Singapore,2020-04-01,879,35,3,0,150.248,5.983,0.513,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,62.37,44.39,45.28,32
80,SGP,Singapore,2020-04-02,1000,121,4,1,170.93,20.683000000000003,0.684,0.171,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,63.77,42.86,44.38,33
81,SGP,Singapore,2020-04-03,1049,49,5,1,179.30599999999998,8.376,0.855,0.171,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,67.51,42.04,52.39,34
82,SGP,Singapore,2020-04-04,1114,65,5,0,190.416,11.11,0.855,0.0,,,,,,5850343,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,60.4,38.73,52.34,35
