,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days
53,GBR,United Kingdom,2020-03-06,115,30,0,0,1.694,0.442,0.0,0.0,20338.0,2255.0,0.3,0.033,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,118.61,114.68,144.51,1
54,GBR,United Kingdom,2020-03-07,163,48,1,1,2.401,0.7070000000000001,0.015,0.015,21460.0,1122.0,0.316,0.017,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,115.05,118.05,172.59,2
55,GBR,United Kingdom,2020-03-08,206,43,2,1,3.034,0.633,0.028999999999999998,0.015,23513.0,2053.0,0.34600000000000003,0.03,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,97.9,97.76,101.39,3
56,GBR,United Kingdom,2020-03-09,273,67,2,0,4.021,0.987,0.028999999999999998,0.0,24960.0,1447.0,0.368,0.021,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,101.47,99,100.87,4
57,GBR,United Kingdom,2020-03-10,321,48,3,1,4.729,0.7070000000000001,0.044000000000000004,0.015,26261.0,1301.0,0.387,0.019,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,102.73,99.54,108.28,5
58,GBR,United Kingdom,2020-03-11,373,52,7,4,5.495,0.7659999999999999,0.10300000000000001,0.059000000000000004,27476.0,1215.0,0.405,0.018000000000000002,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,102.32,95.28,111.71,6
59,GBR,United Kingdom,2020-03-12,456,83,7,0,6.7170000000000005,1.2229999999999999,0.10300000000000001,0.0,29764.0,2288.0,0.43799999999999994,0.034,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,94.18,86.55,102.65,7
60,GBR,United Kingdom,2020-03-13,590,134,9,2,8.691,1.974,0.133,0.028999999999999998,32771.0,3007.0,0.483,0.044000000000000004,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,99.62,88.77,117.26,8
61,GBR,United Kingdom,2020-03-14,707,117,10,1,10.415,1.723,0.147,0.015,37746.0,4975.0,0.556,0.073,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,94.11,88.31,132.4,9
62,GBR,United Kingdom,2020-03-15,1140,433,28,18,16.793,6.377999999999999,0.41200000000000003,0.265,40279.0,2533.0,0.593,0.037000000000000005,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,76.22,67.17,73.47,10
63,GBR,United Kingdom,2020-03-16,1391,251,43,15,20.49,3.697,0.633,0.221,44105.0,3826.0,0.65,0.055999999999999994,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,79.05,61.47,75.75,11
64,GBR,United Kingdom,2020-03-17,1543,152,65,22,22.729,2.239,0.9570000000000001,0.324,50442.0,6337.0,0.743,0.09300000000000001,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,69.91,49.57,62.55,12
65,GBR,United Kingdom,2020-03-18,1950,407,81,16,28.725,5.995,1.193,0.23600000000000002,56221.0,5779.0,0.828,0.085,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,66.55,43.41,56.11,13
66,GBR,United Kingdom,2020-03-19,2630,680,115,34,38.741,10.017000000000001,1.694,0.501,64621.0,8400.0,0.9520000000000001,0.124,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,67.07,41.52,54.04,14
67,GBR,United Kingdom,2020-03-20,3277,647,158,43,48.272,9.531,2.327,0.633,66976.0,2355.0,0.987,0.035,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,68.81,37.97,58.17,15
68,GBR,United Kingdom,2020-03-21,3983,706,194,36,58.672,10.4,2.858,0.53,72818.0,5842.0,1.073,0.086,people tested,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20,24.7,,2.54,56.73,30.08,52.54,16
