,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,driving,transit,walking,days,lockdown_measures
58,AUS,Australia,2020/3/11,112,12,3,0,4.392,0.471,0.118,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,100.79,106.36,100.94,1,0
59,AUS,Australia,2020/3/12,126,14,3,0,4.941,0.549,0.118,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,102.79,101.22,102.38,2,0
60,AUS,Australia,2020/3/13,156,30,3,0,6.118,1.176,0.118,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,98.75,88.82,103.92,3,3
61,AUS,Australia,2020/3/14,197,41,3,0,7.726,1.608,0.118,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,78.16,70.96,84.71,4,3
62,AUS,Australia,2020/3/15,249,52,3,0,9.765,2.039,0.118,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,81.59,76.49,75.67,5,3
63,AUS,Australia,2020/3/16,298,49,5,2,11.686,1.922,0.196,0.078,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,80.52,70.68,71.19,6,3
64,AUS,Australia,2020/3/17,375,77,5,0,14.706,3.02,0.196,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,78.87,65.78,68.72,7,3
65,AUS,Australia,2020/3/18,454,79,5,0,17.804,3.098,0.196,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,79.24,62.19,66.9,8,3
66,AUS,Australia,2020/3/19,565,111,6,1,22.157,4.353,0.235,0.039,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.55,61.79,68.29,9,3
67,AUS,Australia,2020/3/20,709,144,6,0,27.804,5.647,0.235,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,78.17,57.33,72.02,10,3
68,AUS,Australia,2020/3/21,874,165,7,1,34.275,6.471,0.275,0.039,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,60.74,43.75,54.18,11,3
69,AUS,Australia,2020/3/22,1098,224,7,0,43.059,8.784,0.275,0,143056,,5.61,,tests performed,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,66.41,40.71,50.99,12,3
70,AUS,Australia,2020/3/23,1709,611,7,0,67.02,23.961,0.275,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,62.49,33.94,46.97,13,3
71,AUS,Australia,2020/3/24,1823,114,7,0,71.491,4.471,0.275,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,60.19,30.31,45.55,14,3
72,AUS,Australia,2020/3/25,2423,600,8,1,95.02,23.53,0.314,0.039,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,57.96,26.9,43.82,15,3
73,AUS,Australia,2020/3/26,2799,376,11,3,109.765,14.745,0.431,0.118,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,59.9,26.44,45.57,16,3
74,AUS,Australia,2020/3/27,3166,367,13,2,124.157,14.392,0.51,0.078,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,48.25,23.77,41.88,17,3
75,AUS,Australia,2020/3/28,3378,212,13,0,132.471,8.314,0.51,0,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,36.69,19.57,32.84,18,3
76,AUS,Australia,2020/3/29,3809,431,14,1,149.373,16.902,0.549,0.039,211261,,8.285,,tests performed,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,51.18,23.53,40.93,19,3
77,AUS,Australia,2020/3/30,4093,284,16,2,160.511,11.137,0.627,0.078,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,51.92,22.58,42.68,20,3
78,AUS,Australia,2020/3/31,4557,464,19,3,178.707,18.196,0.745,0.118,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,52.04,21.67,41.98,21,3
79,AUS,Australia,2020/4/1,4707,150,20,1,184.589,5.882,0.784,0.039,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,51.54,21.05,39.17,22,3
80,AUS,Australia,2020/4/2,4976,269,21,1,195.138,10.549,0.824,0.039,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,54.23,21.25,42.38,23,3
81,AUS,Australia,2020/4/3,5224,248,23,2,204.864,9.726,0.902,0.078,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,41.58,18.75,35.83,24,3
82,AUS,Australia,2020/4/4,5548,324,30,7,217.57,12.706,1.176,0.275,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,33.34,16.62,31.11,25,3
83,AUS,Australia,2020/4/5,5687,139,34,4,223.021,5.451,1.333,0.157,297154,,11.653,,tests performed,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,51.75,21.76,42.02,26,3
